Name,Telescope,Filter,JD,Magnitude,Magnitude Error 
PTF09axc,P48,r,2455003.8,20.3232,0.10684 
PTF09axc,P48,r,2455018.737,19.4081,0.055569 
PTF09axc,P48,r,2455018.844,19.3792,0.089272 
PTF09axc,P48,r,2455028.711,19.2886,0.038875 
PTF09axc,P48,r,2455028.785,19.773,0.10792 
PTF09axc,P48,r,2455041.688,19.5434,0.064638 
PTF09axc,P48,r,2455041.769,19.5259,0.083843 
PTF09axc,P48,r,2455270.99,>21.4965,3sigma non-detection limit
PTF09axc,P48,r,2455433.646,>21.5298,3sigma non-detection limit
PTF09axc,P60,r,2455035.79,19.1795,0.041461 
PTF09axc,P60,r,2455182.033,>21.5576,3sigma non-detection limit
PTF09axc,P60,r,2455185.037,>20.8347,3sigma non-detection limit
PTF09axc,P60,r,2455190.023,20.602,0.11235 
PTF09axc,P60,r,2455193.01,>21.4156,3sigma non-detection limit
PTF09axc,P60,r,2455202.071,>21.5928,3sigma non-detection limit
PTF09axc,P60,r,2455202.944,>20.4311,3sigma non-detection limit
PTF09axc,P60,r,2455204.971,>19.9467,3sigma non-detection limit
PTF09axc,P60,r,2455208.051,20.3101,0.10738 
PTF09axc,P60,r,2455222.893,>20.9939,3sigma non-detection limit
PTF09axc,P60,r,2455282.999,>21.5214,3sigma non-detection limit
PTF09axc,P60,r,2455284.002,>21.4504,3sigma non-detection limit
PTF09axc,P60,r,2455285.012,>21.2116,3sigma non-detection limit
PTF09axc,P48,g,2454948.746,>22.1893,3sigma non-detection limit
PTF09axc,P48,g,2454948.768,>22.3703,3sigma non-detection limit
PTF09axc,P48,g,2454948.779,>22.4076,3sigma non-detection limit
PTF09axc,P48,g,2454948.813,>22.4124,3sigma non-detection limit
PTF09axc,P48,g,2454948.864,>22.3703,3sigma non-detection limit
PTF09axc,P48,g,2454948.875,>22.5989,3sigma non-detection limit
PTF09axc,P48,g,2454948.899,>22.4812,3sigma non-detection limit
PTF09axc,P48,g,2454948.922,>21.9532,3sigma non-detection limit
PTF09axc,P48,g,2454948.982,>20.3576,3sigma non-detection limit
PTF09axc,P48,g,2454949.715,>22.3123,3sigma non-detection limit
PTF09axc,P48,g,2454949.728,>22.2698,3sigma non-detection limit
PTF09axc,P48,g,2454949.741,>22.3982,3sigma non-detection limit
PTF09axc,P48,g,2454949.768,>22.2288,3sigma non-detection limit
PTF09axc,P48,g,2454949.865,>22.2739,3sigma non-detection limit
PTF09axc,P48,g,2454949.925,>22.0275,3sigma non-detection limit
PTF09axc,P48,g,2454950.863,>22.2698,3sigma non-detection limit
PTF09axc,P48,g,2454950.877,>22.2908,3sigma non-detection limit
PTF09axc,P48,g,2454950.892,>22.2208,3sigma non-detection limit
PTF09axc,P48,g,2454950.899,>22.129,3sigma non-detection limit
PTF09axc,P48,g,2454950.936,>22.3211,3sigma non-detection limit
PTF09axc,P48,g,2454950.951,>22.2824,3sigma non-detection limit
PTF09axc,P48,g,2454950.966,>22.0511,3sigma non-detection limit
PTF09axc,P48,g,2454950.973,>22.1326,3sigma non-detection limit
PTF09djl,P48,r,2454964.79,>21.4271,3sigma non-detection limit
PTF09djl,P48,r,2454964.866,>21.5973,3sigma non-detection limit
PTF09djl,P48,r,2454965.693,>21.802,3sigma non-detection limit
PTF09djl,P48,r,2454969.846,>22.1854,3sigma non-detection limit
PTF09djl,P48,r,2454970.687,>21.4945,3sigma non-detection limit
PTF09djl,P48,r,2455016.733,>21.7337,3sigma non-detection limit
PTF09djl,P48,r,2455016.845,>21.1023,3sigma non-detection limit
PTF09djl,P48,r,2455025.864,>21.4061,3sigma non-detection limit
PTF09djl,P48,r,2455036.709,20.7611,0.10094 
PTF09djl,P48,r,2455036.784,20.7021,0.10184 
PTF09djl,P48,r,2455050.742,19.5966,0.096362 
PTF09djl,P48,r,2455055.705,19.77,0.074211 
PTF09djl,P48,r,2455060.823,19.802,0.085029 
PTF09djl,P48,r,2455061.685,19.6337,0.037947 
PTF09djl,P48,r,2455067.715,19.8812,0.045503 
PTF09djl,P48,r,2455067.759,19.7503,0.047444 
PTF09djl,P48,r,2455272.93,>21.4348,3sigma non-detection limit
PTF09djl,P48,r,2455313.979,>21.4465,3sigma non-detection limit
PTF09djl,P48,r,2455341.826,>21.2968,3sigma non-detection limit
PTF09djl,P48,r,2455341.869,>21.5554,3sigma non-detection limit
PTF09djl,P48,r,2455346.86,>21.3315,3sigma non-detection limit
PTF09djl,P48,r,2455346.904,>21.0631,3sigma non-detection limit
PTF09djl,P48,r,2455356.913,>21.9015,3sigma non-detection limit
PTF09djl,P48,r,2455356.958,>21.5951,3sigma non-detection limit
PTF09djl,P48,r,2455361.916,>21.9626,3sigma non-detection limit
PTF09djl,P48,r,2455361.96,>21.7569,3sigma non-detection limit
PTF09djl,P48,r,2455372.879,>21.4465,3sigma non-detection limit
PTF09djl,P48,r,2455378.779,>21.5383,3sigma non-detection limit
PTF09djl,P48,r,2455378.829,>21.4622,3sigma non-detection limit
PTF09djl,P48,r,2455383.864,>21.9946,3sigma non-detection limit
PTF09djl,P48,r,2455401.707,>21.4662,3sigma non-detection limit
PTF09djl,P48,r,2455401.751,>21.5906,3sigma non-detection limit
PTF09djl,P48,r,2455421.783,>21.8721,3sigma non-detection limit
PTF09djl,P48,r,2455428.667,>22.0443,3sigma non-detection limit
PTF09djl,P48,r,2455428.711,>21.9044,3sigma non-detection limit
PTF09djl,P48,r,2455431.672,>21.9978,3sigma non-detection limit
PTF09djl,P48,r,2455434.676,>21.4232,3sigma non-detection limit
PTF09djl,P48,r,2455434.719,>21.0069,3sigma non-detection limit
PTF09djl,P48,r,2455442.742,>21.9881,3sigma non-detection limit
PTF09djl,P60,r,2454964.79,>21.4271,3sigma non-detection limit
PTF09djl,P60,r,2454964.866,>21.5973,3sigma non-detection limit
PTF09djl,P60,r,2454965.693,>21.802,3sigma non-detection limit
PTF09djl,P60,r,2454969.846,>22.1854,3sigma non-detection limit
PTF09djl,P60,r,2454970.687,>21.4945,3sigma non-detection limit
PTF09djl,P60,r,2455016.733,>21.7337,3sigma non-detection limit
PTF09djl,P60,r,2455016.845,>21.1023,3sigma non-detection limit
PTF09djl,P60,r,2455025.864,>21.4061,3sigma non-detection limit
PTF09djl,P60,r,2455036.709,20.7611,0.10094 
PTF09djl,P60,r,2455036.784,20.7021,0.10184 
PTF09djl,P60,r,2455050.742,19.5966,0.096362 
PTF09djl,P60,r,2455055.705,19.77,0.074211 
PTF09djl,P60,r,2455060.823,19.802,0.085029 
PTF09djl,P60,r,2455061.685,19.6337,0.037947 
PTF09djl,P60,r,2455067.715,19.8812,0.045503 
PTF09djl,P60,r,2455067.759,19.7503,0.047444 
PTF09djl,P60,r,2455272.93,>21.4348,3sigma non-detection limit
PTF09djl,P60,r,2455313.979,>21.4465,3sigma non-detection limit
PTF09djl,P60,r,2455341.826,>21.2968,3sigma non-detection limit
PTF09djl,P60,r,2455341.869,>21.5554,3sigma non-detection limit
PTF09djl,P60,r,2455346.86,>21.3315,3sigma non-detection limit
PTF09djl,P60,r,2455346.904,>21.0631,3sigma non-detection limit
PTF09djl,P60,r,2455356.913,>21.9015,3sigma non-detection limit
PTF09djl,P60,r,2455356.958,>21.5951,3sigma non-detection limit
PTF09djl,P60,r,2455361.916,>21.9626,3sigma non-detection limit
PTF09djl,P60,r,2455361.96,>21.7569,3sigma non-detection limit
PTF09djl,P60,r,2455372.879,>21.4465,3sigma non-detection limit
PTF09djl,P60,r,2455378.779,>21.5383,3sigma non-detection limit
PTF09djl,P60,r,2455378.829,>21.4622,3sigma non-detection limit
PTF09djl,P60,r,2455383.864,>21.9946,3sigma non-detection limit
PTF09djl,P60,r,2455401.707,>21.4662,3sigma non-detection limit
PTF09djl,P60,r,2455401.751,>21.5906,3sigma non-detection limit
PTF09djl,P60,r,2455421.783,>21.8721,3sigma non-detection limit
PTF09djl,P60,r,2455428.667,>22.0443,3sigma non-detection limit
PTF09djl,P60,r,2455428.711,>21.9044,3sigma non-detection limit
PTF09djl,P60,r,2455431.672,>21.9978,3sigma non-detection limit
PTF09djl,P60,r,2455434.676,>21.4232,3sigma non-detection limit
PTF09djl,P60,r,2455434.719,>21.0069,3sigma non-detection limit
PTF09djl,P60,r,2455442.742,>21.9881,3sigma non-detection limit
PTF09djl,P60,g,2455181.021,>20.2121,3sigma non-detection limit
PTF09djl,P60,g,2455193.063,21.2281,0.11412 
PTF09djl,P60,g,2455203.037,>20.4607,3sigma non-detection limit
PTF09djl,P60,g,2455205.029,>20.791,3sigma non-detection limit
PTF09djl,P60,g,2455208.039,21.6347,0.11555 
PTF09djl,P60,g,2455214.014,21.8258,0.14335 
PTF09djl,P60,g,2455225.983,>21.0266,3sigma non-detection limit
PTF09djl,P60,g,2455251.051,>21.6986,3sigma non-detection limit
PTF09djl,P60,g,2455269.029,>22.3982,3sigma non-detection limit
PTF09djl,P60,g,2455270.893,>21.9753,3sigma non-detection limit
PTF09djl,P60,g,2455272.021,>22.1108,3sigma non-detection limit
PTF09djl,P60,g,2455273.828,>22.4561,3sigma non-detection limit
PTF09djl,P60,g,2455282.953,>21.5729,3sigma non-detection limit
PTF09djl,P60,g,2455284.964,>22.3703,3sigma non-detection limit
PTF09djl,P60,g,2455290.924,>21.8779,3sigma non-detection limit
PTF09djl,P60,g,2455297.981,>21.9817,3sigma non-detection limit
PTF09djl,P60,i,2455182.063,>20.5886,3sigma non-detection limit
PTF09djl,P60,i,2455209.027,>21.3262,3sigma non-detection limit
PTF09djl,P60,i,2455251.054,>21.5006,3sigma non-detection limit
PTF09djl,P60,i,2455269.033,>21.813,3sigma non-detection limit
PTF09djl,P60,i,2455272.026,>21.6386,3sigma non-detection limit
PTF09djl,P60,i,2455282.958,>21.07,3sigma non-detection limit
PTF10iam,P48,r,2455281.812,>20.3272,3sigma non-detection limit
PTF10iam,P48,r,2455313.924,>20.9301,3sigma non-detection limit
PTF10iam,P48,r,2455318.925,>20.918,3sigma non-detection limit
PTF10iam,P48,r,2455318.968,>20.9609,3sigma non-detection limit
PTF10iam,P48,r,2455323.962,>21.2227,3sigma non-detection limit
PTF10iam,P48,r,2455324.763,>21.1341,3sigma non-detection limit
PTF10iam,P48,r,2455324.806,>21.2164,3sigma non-detection limit
PTF10iam,P48,r,2455330.991,>20.9144,3sigma non-detection limit
PTF10iam,P48,r,2455345.972,19.1425,0.11374 
PTF10iam,P48,r,2455346.767,18.9737,0.046273 
PTF10iam,P48,r,2455346.811,18.9052,0.048276 
PTF10iam,P48,r,2455351.8,18.4516,0.025342 
PTF10iam,P48,r,2455351.845,18.3754,0.022737 
PTF10iam,P48,r,2455356.918,18.4811,0.029309 
PTF10iam,P48,r,2455356.97,18.4223,0.032472 
PTF10iam,P48,r,2455362.905,18.5907,0.028665 
PTF10iam,P48,r,2455362.957,18.6061,0.030788 
PTF10iam,P48,r,2455368.785,18.6575,0.03538 
PTF10iam,P48,r,2455368.836,18.7041,0.041051 
PTF10iam,P48,r,2455373.896,18.8151,0.061301 
PTF10iam,P48,r,2455373.939,18.7795,0.06738 
PTF10iam,P48,r,2455384.714,19.0818,0.028216 
PTF10iam,P48,r,2455384.757,18.9381,0.026338 
PTF10iam,P48,r,2455390.716,19.1485,0.03024 
PTF10iam,P48,r,2455390.768,19.2182,0.043721 
PTF10iam,P48,r,2455396.691,19.3898,0.052384 
PTF10iam,P48,r,2455396.739,19.3731,0.048974 
PTF10iam,P48,r,2455401.692,19.5397,0.070948 
PTF10iam,P48,r,2455401.742,19.5736,0.069478 
PTF10iam,P48,r,2455412.805,19.6104,0.10505 
PTF10iam,P48,r,2455412.851,19.7643,0.12798 
PTF10iam,P48,r,2455419.79,19.8471,0.1396 
PTF10iam,P48,r,2455423.681,20.0463,0.084043 
PTF10iam,P48,r,2455423.724,19.9005,0.060135 
PTF10iam,P48,r,2455427.705,20.0417,0.065623 
PTF10iam,P48,r,2455427.749,20.0282,0.10949 
PTF10iam,P48,r,2455430.757,20.2769,0.14901 
PTF10iam,P48,r,2455430.8,19.8268,0.12074 
PTF10iam,P48,r,2455434.661,19.9546,0.096708 
PTF10iam,P48,r,2455464.704,>20.5798,3sigma non-detection limit
PTF10iam,P60,r,2455281.812,>20.3272,3sigma non-detection limit
PTF10iam,P60,r,2455313.924,>20.9301,3sigma non-detection limit
PTF10iam,P60,r,2455318.925,>20.918,3sigma non-detection limit
PTF10iam,P60,r,2455318.968,>20.9609,3sigma non-detection limit
PTF10iam,P60,r,2455323.962,>21.2227,3sigma non-detection limit
PTF10iam,P60,r,2455324.763,>21.1341,3sigma non-detection limit
PTF10iam,P60,r,2455324.806,>21.2164,3sigma non-detection limit
PTF10iam,P60,r,2455330.991,>20.9144,3sigma non-detection limit
PTF10iam,P60,r,2455345.972,19.1425,0.11374 
PTF10iam,P60,r,2455346.767,18.9737,0.046273 
PTF10iam,P60,r,2455346.811,18.9052,0.048276 
PTF10iam,P60,r,2455351.8,18.4516,0.025342 
PTF10iam,P60,r,2455351.845,18.3754,0.022737 
PTF10iam,P60,r,2455356.918,18.4811,0.029309 
PTF10iam,P60,r,2455356.97,18.4223,0.032472 
PTF10iam,P60,r,2455362.905,18.5907,0.028665 
PTF10iam,P60,r,2455362.957,18.6061,0.030788 
PTF10iam,P60,r,2455368.785,18.6575,0.03538 
PTF10iam,P60,r,2455368.836,18.7041,0.041051 
PTF10iam,P60,r,2455373.896,18.8151,0.061301 
PTF10iam,P60,r,2455373.939,18.7795,0.06738 
PTF10iam,P60,r,2455384.714,19.0818,0.028216 
PTF10iam,P60,r,2455384.757,18.9381,0.026338 
PTF10iam,P60,r,2455390.716,19.1485,0.03024 
PTF10iam,P60,r,2455390.768,19.2182,0.043721 
PTF10iam,P60,r,2455396.691,19.3898,0.052384 
PTF10iam,P60,r,2455396.739,19.3731,0.048974 
PTF10iam,P60,r,2455401.692,19.5397,0.070948 
PTF10iam,P60,r,2455401.742,19.5736,0.069478 
PTF10iam,P60,r,2455412.805,19.6104,0.10505 
PTF10iam,P60,r,2455412.851,19.7643,0.12798 
PTF10iam,P60,r,2455419.79,19.8471,0.1396 
PTF10iam,P60,r,2455423.681,20.0463,0.084043 
PTF10iam,P60,r,2455423.724,19.9005,0.060135 
PTF10iam,P60,r,2455427.705,20.0417,0.065623 
PTF10iam,P60,r,2455427.749,20.0282,0.10949 
PTF10iam,P60,r,2455430.757,20.2769,0.14901 
PTF10iam,P60,r,2455430.8,19.8268,0.12074 
PTF10iam,P60,r,2455434.661,19.9546,0.096708 
PTF10iam,P60,r,2455464.704,>20.5798,3sigma non-detection limit
PTF10iam,P60,i,2455347.938,18.8425,0.0597 
PTF10iam,P60,i,2455347.958,18.8028,0.035601 
PTF10iam,P60,i,2455406.868,19.3151,0.11151 
PTF10nuj,P48,r,2455243.058,>22.1144,3sigma non-detection limit
PTF10nuj,P48,r,2455243.837,>21.549,3sigma non-detection limit
PTF10nuj,P48,r,2455243.881,>21.302,3sigma non-detection limit
PTF10nuj,P48,r,2455288.948,>20.3562,3sigma non-detection limit
PTF10nuj,P48,r,2455288.982,>19.9438,3sigma non-detection limit
PTF10nuj,P48,r,2455293.02,>21.8926,3sigma non-detection limit
PTF10nuj,P48,r,2455297.76,>21.242,3sigma non-detection limit
PTF10nuj,P48,r,2455302.931,>22.1739,3sigma non-detection limit
PTF10nuj,P48,r,2455310.679,>20.6029,3sigma non-detection limit
PTF10nuj,P48,r,2455310.749,>21.1714,3sigma non-detection limit
PTF10nuj,P48,r,2455314.752,>19.7053,3sigma non-detection limit
PTF10nuj,P48,r,2455320.974,>21.8926,3sigma non-detection limit
PTF10nuj,P48,r,2455328.91,>21.5193,3sigma non-detection limit
PTF10nuj,P48,r,2455337.813,>21.8268,3sigma non-detection limit
PTF10nuj,P48,r,2455341.942,>21.9658,3sigma non-detection limit
PTF10nuj,P48,r,2455346.743,>21.3673,3sigma non-detection limit
PTF10nuj,P48,r,2455350.765,>22.3703,3sigma non-detection limit
PTF10nuj,P48,r,2455350.809,>22.3387,3sigma non-detection limit
PTF10nuj,P48,r,2455355.701,>21.5298,3sigma non-detection limit
PTF10nuj,P48,r,2455364.874,20.3083,0.066516 
PTF10nuj,P48,r,2455364.941,20.4068,0.1294 
PTF10nuj,P48,r,2455368.944,20.1475,0.097969 
PTF10nuj,P48,r,2455369.689,19.9716,0.080462 
PTF10nuj,P48,r,2455369.733,20.145,0.073156 
PTF10nuj,P48,r,2455373.772,19.6455,0.086774 
PTF10nuj,P48,r,2455373.815,19.6865,0.064072 
PTF10nuj,P48,r,2455376.913,20.0195,0.13456 
PTF10nuj,P48,r,2455376.956,19.7787,0.14666 
PTF10nuj,P48,r,2455381.721,19.8246,0.042311 
PTF10nuj,P48,r,2455381.764,19.8378,0.042831 
PTF10nuj,P48,r,2455385.779,19.9428,0.053054 
PTF10nuj,P48,r,2455385.822,19.7993,0.040906 
PTF10nuj,P48,r,2455390.689,20.0087,0.059846 
PTF10nuj,P48,r,2455390.733,20.0192,0.086347 
PTF10nuj,P48,r,2455394.769,20.4293,0.082024 
PTF10nuj,P48,r,2455394.812,20.0672,0.11551 
PTF10nuj,P48,r,2455398.82,20.128,0.056726 
PTF10nuj,P48,r,2455398.865,20.4739,0.10943 
PTF10nuj,P48,r,2455404.789,20.5734,0.13801 
PTF10nuj,P48,r,2455409.712,20.5739,0.13108 
PTF10nuj,P48,r,2455409.755,20.7467,0.13794 
PTF10nuj,P48,r,2455415.668,>21.1385,3sigma non-detection limit
PTF10nuj,P48,r,2455415.711,>21.4309,3sigma non-detection limit
PTF10nuj,P48,r,2455418.723,>21.4137,3sigma non-detection limit
PTF10nuj,P48,r,2455421.707,>22.2369,3sigma non-detection limit
PTF10nuj,P48,r,2455421.795,>21.6432,3sigma non-detection limit
PTF10nuj,P48,r,2455424.701,>21.9195,3sigma non-detection limit
PTF10nuj,P48,r,2455427.699,>22.0788,3sigma non-detection limit
PTF10nuj,P48,r,2455427.743,>22.0788,3sigma non-detection limit
PTF10nuj,P48,r,2455430.753,>21.711,3sigma non-detection limit
