SURVEY:  PS1MD
SNID:  PSc530302
IAUC:    UNKNOWN
RA:        242.1782000  deg
DECL:       54.0967833  deg
MWEBV: 0.0068 +- 0.0014 MW E(B-V)
REDSHIFT_FINAL:  0.3380 +- 0.0010  (CMB)
HOSTGAL_LOGMASS: 10.2090 +- 0.3650
SEARCH_PEAKMJD: 56482.0
FILTERS:    griz
# keywords from LC processing:
# PSFTRIM: 0
# PHOTCAT: PSc530302.0x1613.dougpv3.phot1
# CNTRD_FLUX_OFFSET: 0.0001
# HOSTNAME: dsp055

# ======================================
# TERSE LIGHT CURVE OUTPUT
#
NOBS: 375
NVAR:   7
VARLIST:  MJD  FLT FIELD   FLUXCAL   FLUXCALERR    MAG     MAGERR

OBS: 55746.3 r NULL  2.657 7.815 -6.061 3.193
OBS: 55752.3 r NULL  0.950 14.603 -4.944 16.696
OBS: 55761.3 r NULL  11.295 10.180 -7.632 0.979
OBS: 55764.3 r NULL  9.308 24.132 -7.422 2.815
OBS: 55767.3 r NULL  -6.674 9.711 nan -1.580
OBS: 55770.3 r NULL  -1.754 8.168 nan -5.055
OBS: 55773.3 r NULL  8.742 12.053 -7.354 1.497
OBS: 55776.3 r NULL  0.820 8.501 -4.784 11.262
OBS: 55779.3 r NULL  4.034 16.436 -6.514 4.424
OBS: 55791.3 r NULL  5.486 9.681 -6.848 1.916
OBS: 55794.3 r NULL  -7.546 8.059 nan -1.160
OBS: 55797.3 r NULL  14.239 9.360 -7.884 0.714
OBS: 55800.3 r NULL  47.236 23.728 -9.186 0.545
OBS: 55803.3 r NULL  -24.861 9.679 nan -0.423
OBS: 55806.3 r NULL  3.963 13.988 -6.495 3.833
OBS: 56059.4 r NULL  -11.433 17.168 nan -1.630
OBS: 56062.6 r NULL  1.879 9.625 -5.685 5.563
OBS: 56065.5 r NULL  10.206 8.523 -7.522 0.907
OBS: 56088.3 r NULL  4.004 9.376 -6.506 2.542
OBS: 56091.3 r NULL  19.727 10.781 -8.238 0.593
OBS: 56094.4 r NULL  -11.352 10.964 nan -1.049
OBS: 56416.6 r NULL  0.678 9.835 -4.578 15.745
OBS: 56420.6 r NULL  -3.425 9.398 nan -2.979
OBS: 56424.6 r NULL  6.674 8.666 -7.061 1.410
OBS: 56427.5 r NULL  -4.043 11.598 nan -3.115
OBS: 56443.5 r NULL  -9.271 10.540 nan -1.234
OBS: 56450.5 r NULL  5.870 16.804 -6.922 3.108
OBS: 56460.5 r NULL  49.666 12.261 -9.240 0.268
OBS: 56472.4 r NULL  148.815 18.608 -10.432 0.136
OBS: 56475.4 r NULL  157.052 9.312 -10.490 0.064
OBS: 56478.3 r NULL  164.935 9.543 -10.543 0.063
OBS: 56479.4 r NULL  165.334 8.286 -10.546 0.054
OBS: 56486.3 r NULL  131.708 10.592 -10.299 0.087
OBS: 56489.3 r NULL  124.600 12.856 -10.239 0.112
OBS: 56501.4 r NULL  53.446 16.292 -9.320 0.331
OBS: 56507.3 r NULL  25.792 9.469 -8.529 0.399
OBS: 56508.3 r NULL  40.709 9.758 -9.024 0.260
OBS: 56512.3 r NULL  30.478 9.736 -8.710 0.347
OBS: 56518.3 r NULL  4.645 15.182 -6.667 3.549
OBS: 56537.3 r NULL  -0.194 13.671 nan -76.508
OBS: 54940.6 i NULL  0.821 12.242 -4.786 16.188
OBS: 54941.6 i NULL  -4.796 10.783 nan -2.441
OBS: 54952.6 i NULL  -2.790 19.595 nan -7.626
OBS: 54953.6 i NULL  -0.888 22.854 nan -27.947
OBS: 54984.4 i NULL  -15.920 12.287 nan -0.838
OBS: 54985.5 i NULL  -8.260 18.590 nan -2.444
OBS: 55000.4 i NULL  -25.768 14.168 nan -0.597
OBS: 55009.4 i NULL  13.075 23.105 -7.791 1.919
OBS: 55012.4 i NULL  -0.497 10.408 nan -22.719
OBS: 55015.3 i NULL  -69.567 19.547 nan -0.305
OBS: 55075.3 i NULL  -11.670 26.247 nan -2.442
OBS: 55093.2 i NULL  -6.790 13.761 nan -2.200
OBS: 55288.5 i NULL  -7.168 11.354 nan -1.720
OBS: 55300.6 i NULL  -0.079 16.909 nan -232.972
OBS: 55324.6 i NULL  2.654 9.327 -6.060 3.815
OBS: 55327.6 i NULL  -9.075 7.782 nan -0.931
OBS: 55330.4 i NULL  -8.946 9.034 nan -1.096
OBS: 55348.4 i NULL  4.887 10.072 -6.723 2.238
OBS: 55363.5 i NULL  -2.224 10.207 nan -4.982
OBS: 55366.3 i NULL  -4.580 7.786 nan -1.846
OBS: 55378.4 i NULL  9.983 6.766 -7.498 0.736
OBS: 55408.3 i NULL  -5.028 14.429 nan -3.116
OBS: 55411.4 i NULL  -23.082 17.225 nan -0.810
OBS: 55414.3 i NULL  18.751 11.586 -8.183 0.671
OBS: 55417.3 i NULL  1.213 5.981 -5.210 5.354
OBS: 55423.3 i NULL  27.371 9.686 -8.593 0.384
OBS: 55429.3 i NULL  -7.961 15.188 nan -2.071
OBS: 55438.3 i NULL  -13.597 14.871 nan -1.187
OBS: 55441.3 i NULL  0.306 9.416 -3.713 33.465
OBS: 55444.3 i NULL  -3.212 7.856 nan -2.656
OBS: 55447.3 i NULL  -15.553 10.316 nan -0.720
OBS: 55450.3 i NULL  -43.351 20.024 nan -0.502
OBS: 55453.2 i NULL  12.923 9.996 -7.778 0.840
OBS: 55456.2 i NULL  1.095 14.819 -5.099 14.692
OBS: 55615.6 i NULL  0.557 36.597 -4.365 71.299
OBS: 55672.5 i NULL  -3.733 11.255 nan -3.273
OBS: 55675.6 i NULL  11.637 8.438 -7.665 0.787
OBS: 55678.6 i NULL  0.421 9.683 -4.061 24.965
OBS: 55693.4 i NULL  -1.012 49.359 nan -52.940
OBS: 55702.5 i NULL  -6.050 13.164 nan -2.362
OBS: 55708.4 i NULL  23.096 15.181 -8.409 0.714
OBS: 55711.5 i NULL  11.093 7.960 -7.613 0.779
OBS: 55714.4 i NULL  -5.930 7.076 nan -1.296
OBS: 55723.4 i NULL  -2.228 5.773 nan -2.813
OBS: 55735.5 i NULL  0.272 28.042 -3.587 111.852
OBS: 55738.4 i NULL  22.713 20.145 -8.391 0.963
OBS: 55741.5 i NULL  -1.773 9.461 nan -5.794
OBS: 55744.3 i NULL  2.308 8.111 -5.908 3.815
OBS: 55747.3 i NULL  1.438 6.420 -5.394 4.847
OBS: 55753.3 i NULL  -0.317 8.906 nan -30.483
OBS: 55762.3 i NULL  0.066 8.933 -2.041 148.078
OBS: 55765.3 i NULL  -17.741 18.106 nan -1.108
OBS: 55768.3 i NULL  -6.108 7.328 nan -1.303
OBS: 55771.3 i NULL  -2.194 14.462 nan -7.157
OBS: 55774.3 i NULL  -3.124 6.639 nan -2.308
OBS: 55777.3 i NULL  5.793 6.151 -6.907 1.153
OBS: 55789.3 i NULL  -1.306 7.713 nan -6.410
OBS: 55792.3 i NULL  8.550 10.801 -7.330 1.372
OBS: 55795.3 i NULL  -5.430 10.044 nan -2.008
OBS: 55801.3 i NULL  -2.609 8.222 nan -3.422
OBS: 55804.3 i NULL  -10.861 8.050 nan -0.805
OBS: 55807.2 i NULL  -24.477 14.547 nan -0.645
OBS: 56057.5 i NULL  0.793 8.749 -4.748 11.985
OBS: 56063.6 i NULL  -16.323 11.359 nan -0.756
OBS: 56066.5 i NULL  0.156 7.291 -2.986 50.616
OBS: 56068.5 i NULL  -10.826 8.154 nan -0.818
OBS: 56086.4 i NULL  -1.183 9.184 nan -8.430
OBS: 56089.3 i NULL  1.298 6.646 -5.283 5.559
OBS: 56092.3 i NULL  0.007 7.499 0.342 1115.363
OBS: 56136.3 i NULL  3.212 7.677 -6.267 2.595
OBS: 56411.5 i NULL  -5.758 8.486 nan -1.600
OBS: 56414.5 i NULL  3.773 7.766 -6.442 2.235
OBS: 56417.6 i NULL  3.607 14.988 -6.393 4.512
OBS: 56420.5 i NULL  1.599 8.407 -5.510 5.707
OBS: 56422.5 i NULL  -3.052 12.107 nan -4.307
OBS: 56428.5 i NULL  9.783 9.578 -7.476 1.063
OBS: 56432.5 i NULL  9.422 8.630 -7.435 0.994
OBS: 56447.5 i NULL  -9.656 9.915 nan -1.115
OBS: 56450.5 i NULL  9.581 10.519 -7.454 1.192
OBS: 56452.4 i NULL  11.923 9.988 -7.691 0.910
OBS: 56455.4 i NULL  7.489 8.348 -7.186 1.210
OBS: 56458.4 i NULL  26.291 10.389 -8.550 0.429
OBS: 56462.4 i NULL  59.400 9.623 -9.434 0.176
OBS: 56470.4 i NULL  137.690 9.790 -10.347 0.077
OBS: 56473.4 i NULL  153.456 6.943 -10.465 0.049
OBS: 56476.4 i NULL  169.064 10.821 -10.570 0.069
OBS: 56479.3 i NULL  170.520 6.000 -10.579 0.038
OBS: 56481.3 i NULL  152.153 11.264 -10.456 0.080
OBS: 56487.3 i NULL  162.813 7.186 -10.529 0.048
OBS: 56491.3 i NULL  159.574 7.452 -10.507 0.051
OBS: 56499.3 i NULL  108.730 22.472 -10.091 0.224
OBS: 56502.3 i NULL  96.977 11.261 -9.967 0.126
OBS: 56505.4 i NULL  58.126 27.550 -9.411 0.515
OBS: 56508.3 i NULL  74.534 9.055 -9.681 0.132
OBS: 56513.3 i NULL  70.386 6.770 -9.619 0.104
OBS: 56516.3 i NULL  63.947 11.885 -9.515 0.202
OBS: 56520.3 i NULL  48.161 10.505 -9.207 0.237
OBS: 56538.3 i NULL  26.032 7.313 -8.539 0.305
OBS: 54956.5 z NULL  13.459 20.318 -7.823 1.639
OBS: 54957.6 z NULL  -19.711 31.821 nan -1.753
OBS: 54998.4 z NULL  -4.612 23.305 nan -5.486
OBS: 55004.4 z NULL  -53.764 49.123 nan -0.992
OBS: 55007.4 z NULL  13.206 25.096 -7.802 2.063
OBS: 55010.4 z NULL  9.894 19.658 -7.488 2.157
OBS: 55013.4 z NULL  -4.633 17.001 nan -3.984
OBS: 55016.3 z NULL  0.471 25.595 -4.183 58.950
OBS: 55034.4 z NULL  87.836 73.751 -9.859 0.912
OBS: 55094.2 z NULL  -0.914 48.115 nan -57.125
OBS: 55103.2 z NULL  -21.789 17.500 nan -0.872
OBS: 55295.6 z NULL  -2.197 40.967 nan -20.242
OBS: 55298.6 z NULL  0.742 15.674 -4.677 22.922
OBS: 55304.6 z NULL  -15.255 16.842 nan -1.199
OBS: 55325.5 z NULL  35.067 26.319 -8.862 0.815
OBS: 55328.6 z NULL  32.472 24.934 -8.779 0.834
