objid   iau      type     field   amp   ra             dec             spectel                                          specdate                                                      snz      sndz    galz      galdz    mwebv
s346    2006tl   Ia       wbb9      1   01:09:17.282   -00:40:27.967   VLT+FORS1                                        2006-12-21.065                                                0.270    0.010   0.2721    0.0006   0.03367   
s347    2006tk   Ia       wbb6      8   01:07:52.640   +00:27:55.293   VLT+FORS1,Gemini+GMOS,Gemini+GMOS                2006-12-20.067,2006-12-31.072,2007-01-03.088                  0.313    0.003   ---       ---      0.02954   
s349    2006tm   Ia       wbb6     12   01:09:17.297   +00:09:11.389   VLT+FORS1                                        2006-12-21.086                                                0.220    0.007   0.2156    0.0002   0.02782   
s350    2006to   Ia       wcc2      1   02:07:34.387   -04:00:04.177   Keck+LRIS                                        2006-12-25.266                                                0.682    0.010   0.6834    0.0001   0.02453   
s351    2006tp   Ia       wcc4      1   02:09:14.040   -04:37:11.970   VLT+FORS1                                        2006-12-21.147                                                0.720    0.006   0.7275    0.0002   0.02118   
s353    2006tr   Ia?      wdd3      4   02:28:29.532   -07:53:28.493   VLT+FORS1,VLT+FORS1,Keck+DEIMOS,Keck+LRIS        2006-12-20.129,2006-12-21.176,2006-12-23.400,2006-12-25.364   0.581    0.010   0.5956    0.0002   0.02658   
s354    ---      Ia?      wcc9     10   02:06:10.482   -05:05:23.000   Keck+LRIS                                        2006-12-25.331                                                ---      ---     0.5588    0.0004   0.02130   
s355    2006tn   Ia       wcc9     10   02:05:36.019   -05:08:46.272   VLT+FORS1                                        2006-12-21.115                                                0.670    0.010   0.6734    0.0002   0.02461   
s362    2006tq   Ib-pec   wcc4      8   02:10:00.697   -04:06:00.903   Gemini+GMOS,Gemini+GMOS                          2006-12-28.277,2007-01-20.103                                 0.262    0.001   0.2622    0.0001   0.02390   
s370    2006tu   Ia       wdd2      2   02:29:56.534   -07:59:50.850   Gemini+GMOS                                      2006-12-28.108                                                0.439    0.005   0.4394    0.0002   0.03014   
s371    ---      II?      wbb8     11   01:12:57.431   -00:26:54.525   Keck+DEIMOS                                      2006-12-23.307                                                ---      ---     0.2499    0.0001   0.02858   
s372    ---      Ia       wcc2     16   02:08:24.257   -03:27:32.636   VLT+FORS1,Keck+DEIMOS                            2006-12-21.219,2006-12-23.340                                 0.706    0.010   0.7076    0.0014   0.02480   
s373    2006tt   Ia       wcc4     12   02:10:47.935   -04:24:56.952   VLT+FORS1                                        2006-12-20.190                                                0.630    0.003   ---       ---      0.02041   
s374    2006tv   Ia?      wdd4      9   02:35:34.225   -08:34:22.069   Keck+LRIS,Gemini+GMOS                            2006-12-25.396,2006-12-26.304                                 0.757    0.010   0.7581    0.0002   0.02855   
s375    2006ts   IaT      wcc1     15   02:10:18.687   -03:32:26.335   VLT+FORS1                                        2006-12-20.158                                                0.551    0.006   0.5569    0.0003   0.02473   
s377    2006tw   IaT      wbb6      6   01:08:54.227   +00:17:56.510   Gemini+GMOS                                      2007-01-17.269                                                ---      ---     0.3987    0.0005   0.02658   
s378    2006tx   SN?      wbb9     11   01:10:26.793   -00:34:07.640   Keck+DEIMOS,Gemini+GMOS                          2006-12-23.241,2006-12-24.052                                 ---      ---     0.5005    0.0002   0.02851   
s379    2006ty   Ia       wbb3     10   01:10:45.361   +00:34:04.408   Gemini+GMOS                                      2006-12-23.315                                                0.181    0.004   0.1923    0.0001   0.02689   
s380    ---      Ia       wcc7      2   02:09:00.048   -05:07:41.787   Keck+DEIMOS                                      2006-12-23.371                                                ---      ---     0.6355    0.0002   0.02096   
s383    2006tz   SN?      wcc4     13   02:10:27.034   -04:17:08.159   Keck+LRIS                                        2006-12-25.299                                                ---      ---     0.3920    0.0001   0.02371   
x005    2007sz   IIP      wcc8      2   02:07:00.230   -05:06:08.212   Keck+LRIS                                        2007-10-16.433                                                0.046    0.005   ---       ---      0.02235   
x016    2007td   IIn      wcc3      5   02:04:26.895   -03:44:18.859   Magellan+LDSS3                                   2007-10-06.301                                                ---      ---     0.3442    0.0002   0.02666   
x017    2007ta   Ia       wbb4      1   01:13:15.801   -00:01:31.428   Magellan+LDSS3                                   2007-10-06.204                                                0.418    0.006   0.4222    0.0004   0.02770   
x020    2007te   Ia       wcc1      7   02:09:29.402   -03:35:35.054   Magellan+LDSS3                                   2007-10-07.319                                                0.686    0.008   ---       ---      0.02540   
x022    2007sx   IIP      wbb9      9   01:10:09.249   -00:42:08.035   Magellan+LDSS3                                   2007-10-06.240                                                0.12     0.01    0.1171    0.0004   0.03418   
x024    2007sy   II?      wbb1     12   01:15:25.989   +00:49:06.597   Magellan+LDSS3                                   2007-10-07.147                                                0.19     0.01    0.1936    0.0002   0.03165   
x025    2007tb   Ia       wbb1     12   01:14:41.252   +00:46:51.824   Magellan+LDSS3                                   2007-10-07.210                                                0.372    0.008   0.3553    0.0001   0.03295   
x027    ---      Unk      wcc2     12   02:08:15.486   -03:49:35.804   Magellan+LDSS3                                   2007-10-07.267                                                ---      ---     ---       ---      0.02259   
x028    2007tc   Ia       wbb4     13   01:14:46.894   +00:17:06.778   Keck+LRIS                                        2007-10-14.308                                                0.609    0.007   0.600     0.0010   0.03209   
x033    2007tf   Ia       wbb6     10   01:09:59.349   -00:01:06.947   Keck+LRIS                                        2007-10-16.373                                                0.405    0.007   0.4062    0.0012   0.03114   
x034    2007th   Ia       wcc7     11   02:10:57.582   -05:00:24.789   Magellan+LDSS3                                   2007-10-08.179                                                0.508    0.003   ---       ---      0.02021   
x035    ---      Gal      wcc9     11   02:05:24.988   -05:03:33.228   Keck+LRIS                                        2007-10-16.455                                                ---      ---     0.4029    0.0002   0.02415   
x038    2007tg   Ia       wcc9     15   02:06:10.505   -04:42:23.286   Magellan+LDSS3,Keck+LRIS                         2007-10-08.238,2007-10-16.397                                 0.512    0.008   ---       ---      0.02367   
x039    ---      Ia       wdd3     15   02:29:18.063   -07:39:01.433   Keck+LRIS                                        2007-10-14.392                                                0.771    0.004   ---       ---      0.02975   
x055    2007tk   Ia?      wdd5      6   02:30:24.609   -08:17:54.401   Gemini+GMOS                                      2007-11-07.227                                                ---      ---     0.3495    0.0002   0.03726   
x066    2007tj   Ia       wcc4     14   02:11:04.611   -04:11:50.056   Keck+LRIS                                        2007-10-16.424                                                0.331    0.003   0.3286    0.0002   0.02047   
x068    ---      Gal      wdd5     14   02:31:12.905   -08:18:18.552   Keck+LRIS                                        2007-10-16.542                                                ---      ---     0.4350    0.0002   0.03451   
x071    2007ti   Ia       wcc7     16   02:10:09.836   -04:39:49.342   Gemini+GMOS,Gemini+GMOS,Gemini+GMOS              2007-10-13.202,2007-10-14.119,2007-10-17.240                  0.476    0.008   0.4865    0.0002   0.02324   
x072    ---      Gal      wcc8     16   02:08:37.294   -04:37:35.354   Keck+LRIS                                        2007-10-14.329                                                ---      ---     0.1919    0.0001   0.02107   
x076    2007tn   II       wdd6      2   02:28:14.790   -08:36:32.198   Keck+LRIS                                        2007-10-16.611                                                ---      ---     ---       ---      0.03026   
x077    2007tp   Ia       wdd8      2   02:30:23.940   -09:13:39.846   Keck+LRIS                                        2007-10-16.569                                                0.517    0.009   0.520     0.0010   0.03026   
x080    2007tl   Ia       wbb8      6   01:11:04.912   -00:15:43.364   Keck+LRIS                                        2007-10-16.318                                                0.374    0.008   0.3731    0.0002   0.02838   
x084    ---      Gal?     wdd3     12   02:29:20.643   -07:51:00.932   Keck+LRIS,Keck+LRIS                              2007-10-14.416,2007-10-16.517                                 ---      ---     ---       ---      0.02666   
x085    2007to   Ia       wdd9     12   02:29:42.061   -09:02:05.252   Keck+LRIS                                        2007-10-16.491                                                0.648    0.008   0.6345    0.0001   0.03208   
x089    2007tm   IaT      wcc3     15   02:06:04.748   -03:32:29.261   Keck+LRIS                                        2007-10-14.364                                                0.5      0.005   0.4919    0.0001   0.02307   
x093    ---      Ia       wdd9     11   02:29:43.134   -09:06:54.931   Keck+LRIS                                        2007-10-16.597                                                ---      ---     0.5004    0.0001   0.03314   
x103    ---      Ia?      wbb5      4   01:10:48.009   +00:13:36.806   ---                                              ---                                                           ---      ---     ---       ---      0.02585   
x107    2007tq   Ia       wdd3     12   02:29:23.345   -07:52:27.686   Magellan+LDSS3,Magellan+LDSS3                    2007-11-13.267,2007-11-15.298                                 0.145    0.002   0.1462    0.0009   0.02682   
x113    ---      II?      wdd4     16   02:34:36.128   -08:01:11.116   Gemini+GMOS,Gemini+GMOS                          2007-11-05.265,2007-11-06.192                                 ---      ---     ---       ---      0.03962   
y117    ---      Unk      wcc5     16   02:08:14.332   -04:05:09.772   Magellan+LDSS3                                   2007-11-15.242                                                ---      ---     ---       ---      0.02299   
y118    2007tu   IIP      wbb7      1   01:14:05.219   -00:36:25.629   Magellan+LDSS3                                   2007-11-15.133                                                0.222    0.007   ---       ---      0.02995   
y122    2007tx   Ic       wdd6      2   02:28:33.314   -08:35:25.690   Keck+LRIS                                        2007-11-12.557                                                0.674    0.006   0.6764    0.0001   0.03035   
y123    ---      Gal      wdd7      2   02:32:56.953   -09:08:21.287   Magellan+LDSS3                                   2007-11-13.248                                                ---      ---     0.1939    0.0007   0.02755   
y125    2007tv   Ia       wcc9      3   02:05:13.326   -05:01:42.415   Magellan+LDSS3                                   2007-11-13.137                                                0.310    0.006   0.3108    0.0003   0.02459   
y126    ---      Gal      wcc9      3   02:04:27.408   -05:01:59.892   Magellan+LDSS3                                   2007-11-13.213                                                ---      ---     0.7944    0.0002   0.02355   
y127    2007ty   Ia       wdd6      5   02:28:34.381   -08:23:49.491   Magellan+LDSS3,Magellan+LDSS3                    2007-11-13.288,2007-11-15.263                                 0.518    0.003   ---       ---      0.03131   
y131    2007tw   SN?      wcc9     11   02:05:32.964   -05:02:46.626   Keck+LRIS,Magellan+LDSS3                         2007-11-11.430,2007-11-16.201                                 ---      ---     0.6654    0.0001   0.02404   
y134    2007ts   Ia       wbb6      8   01:07:58.159   +00:27:48.972   Magellan+LDSS3                                   2007-11-15.207                                                0.336    0.006   0.3149    0.0002   0.02953   
y136    2007tz   Ia?      wdd8      8   02:30:07.153   -08:43:09.354   Keck+LRIS                                        2007-11-11.517                                                ---      0.001   0.5200    0.0010   0.03795   
y137    2007tt   Ia       wbb8      6   01:11:20.516   -00:12:19.423   Keck+LRIS                                        2007-11-11.308                                                0.368    0.009   0.3741    0.0004   0.02732   
y142    2007ud   Ia       wdd8      1   02:30:13.145   -09:15:39.519   Keck+LRIS                                        2007-11-11.540                                                0.592    0.006   0.5820    0.0010   0.02938   
y143    2007ub   Ia       wcc2      3   02:07:24.132   -03:51:55.226   Keck+LRIS                                        2007-11-11.456                                                0.466    0.008   0.4642    0.0003   0.02487   
y145    2007ua   Ia       wbb3     10   01:10:31.955   +00:35:49.434   Keck+LRIS                                        2007-11-11.332                                                0.555    0.001   0.5514    0.0003   0.02788   
y146    ---      Unk      wdd6     12   02:29:26.184   -08:27:52.797   Magellan+LDSS3                                   2007-11-14.268                                                ---      ---     ---       ---      0.03430   
y151    2007uc   Ia?      wcc4     16   02:10:15.529   -04:04:06.465   Keck+LRIS                                        2007-11-12.513                                                ---      ---     0.5837    0.0006   0.02255   
y154    2007ug   Ia?      wcc7      5   02:09:36.845   -04:51:52.280   Keck+LRIS                                        2007-11-12.489                                                ---      ---     0.6540    0.0001   0.02246   
y155    ---      PISN?    wbb6      6   01:07:56.085   +00:17:41.484   Keck+LRIS,Magellan+LDSS3,MMT+BlueChannel         2007-11-12.347,2007-11-16.150,2007-12-14.119                  ---      ---     0.7973    0.0000   0.03096   
y156    2007ue   Ia       wbb9      7   01:09:09.843   -00:14:01.124   Keck+LRIS                                        2007-11-12.321                                                ---      ---     0.6614    0.0004   0.03364   
y158    2007uf   Ia       wcc5      7   02:06:30.881   -04:09:55.047   Keck+LRIS                                        2007-11-12.455                                                ---      ---     0.4856    0.0001   0.02182   
y163    2007uh   Ia       wcc3      9   02:06:05.200   -04:01:37.458   Gemini+GMOS                                      2007-11-17.152                                                0.640    0.003   0.630     0.0010   0.02411   
y173    ---      Ic?      wdd4     13   02:35:34.821   -08:19:07.016   Magellan+LDSS3,Gemini+GMOS,Gemini+GMOS           2007-11-16.250,2007-11-17.281,2007-11-18.260                  ---      ---     0.4078    0.0002   0.03593   
y175    2007ui   Ia       wdd4     16   02:34:57.445   -08:03:57.919   Gemini+GMOS,Gemini+GMOS                          2007-12-02.206,2007-12-03.076                                 0.421    0.009   0.4130    0.0002   0.03688   
y177    2007uj   Ia       wdd4      2   02:33:19.036   -08:32:30.217   Magellan+LDSS3                                   2007-12-07.177                                                0.303    0.004   ---       ---      0.03212   
z179    ---      Gal      wbb8      4   01:11:21.637   -00:22:45.114   Keck+LRIS                                        2007-12-13.334                                                ---      ---     0.4462    0.0007   0.02664   
z180    2007uk   Ia       wbb8      4   01:10:55.006   -00:22:53.197   Magellan+LDSS3                                   2007-12-07.066                                                0.447    0.004   ---       ---      0.02561   
z181    2007ul   Ia       wcc8      7   02:07:16.534   -04:42:23.201   Gemini+GMOS                                      2007-12-12.176                                                0.604    0.004   0.620     0.0010   0.02248   
z183    2007un   Ia       wbb1      8   01:14:22.736   +01:07:45.632   Magellan+LDSS3,MMT+BlueChannel                   2007-12-07.106,2007-12-14.162                                 0.287    0.006   0.2806    0.0001   0.03050   
z184    2007up   Gal      wcc4      3   02:09:56.068   -04:28:57.352   Gemini+GMOS                                      2007-12-14.190                                                ---      ---     0.6116    0.0002   0.02245   
z185    2007uv   Ia       wbb4      9   01:15:11.994   -00:02:08.387   Gemini+GMOS                                      2007-12-11.106                                                0.414    0.005   0.4068    0.0001   0.02924   
z187    2007um   Ia       wbb5     13   01:12:29.210   +00:17:01.211   Magellan+LDSS3,Magellan+LDSS3                    2007-12-07.142,2007-12-08.067                                 0.293    0.004   ---       ---      0.03491   
z195    ---      Unk      wdd9     12   02:29:47.674   -09:01:08.431   Magellan+LDSS3                                   2007-12-08.131                                                ---      ---     ---       ---      0.03279   
z200    2007uo   Ia       wbb1     13   01:14:43.186   +00:54:27.657   Gemini+GMOS                                      2007-12-13.110                                                0.457    0.005   0.4548    0.0002   0.03175   
z202    2007uq   Ia       wcc3      3   02:04:21.320   -03:54:10.960   Magellan+LDSS3                                   2007-12-08.093                                                0.220    0.005   0.2205    0.0002   0.02510   
z203    2007ur   Ia?      wcc2     15   02:08:41.591   -03:34:10.527   Keck+LRIS                                        2007-12-13.368                                                ---      0.001   0.2500    0.0010   0.02317   
z204    2007us   Ia       wdd3      2   02:27:54.863   -08:00:55.479   Keck+LRIS                                        2007-12-13.392                                                ---      ---     0.6201    0.0002   0.03008   
z205    2007ut   Ia       wdd8      2   02:30:23.642   -09:12:20.022   Magellan+LDSS3                                   2007-12-08.153                                                0.416    0.020   ---       ---      0.03042   
z208    2007uu   Ia       wbb1      5   01:14:01.011   +00:53:47.598   Keck+LRIS                                        2007-12-13.275                                                0.502    0.008   0.5300    0.0010   0.03017   
