objid   iau      type     field   amp   ra             dec             spectel                                          specdate                                                      snz      sndz    galz      galdz    mwebv
e309    ---      Star     waa9     14   23:25:14.230   -09:44:25.810   Gemini+GMOS                                      2003-11-23.320                                                0.001    0.003   ---       ---      0.02968   
e315    2003ku   Ia       wbb9      3   01:08:36.253   -00:33:20.780   Gemini+GMOS                                      2003-11-24.310                                                ---      ---     ---       ---      0.03573   
e418    ---      Unk      wcc2      8   02:07:30.851   -03:30:49.497   Magellan+IMACS                                   2003-11-27.190                                                ---      ---     ---       ---      0.02304   
e501    ---      Unk      waa1      1   23:29:20.159   -08:54:27.836   Magellan+IMACS                                   2003-11-28.090                                                ---      ---     ---       ---      0.03161   
e504    ---      AGN      waa3      4   23:25:01.338   -08:41:49.753   Magellan+IMACS                                   2003-11-29.050                                                0.675    0.005   ---       ---      0.04289   
e510    ---      Unk      waa1     13   23:30:59.971   -08:37:34.344   Gemini+GMOS                                      2003-11-29.080                                                ---      ---     ---       ---      0.03116   
e528    ---      Unk      wcc5      3   02:07:37.767   -04:27:06.738   Magellan+IMACS                                   2003-11-28.200                                                ---      ---     ---       ---      0.02129   
e529    ---      Unk      wcc5      3   02:06:42.954   -04:26:31.293   Magellan+LDSS2                                   2003-11-29.100                                                ---      ---     ---       ---      0.02226   
e531    2003kv   Ia?      wcc1      4   02:09:42.519   -03:46:48.442   Magellan+IMACS                                   2003-11-29.140                                                ---      ---     ---       ---      0.02288   
e604    ---      Gal      waa6      8   23:23:51.868   -08:59:17.456   VLT+FORS1                                        2005-10-06.080                                                ---      ---     0.4357    0.0001   0.03519   
f001    2003lg   IIP      wbb7      1   01:13:32.675   +00:36:57.310   MMT+BlueChannel                                  2003-12-19.170                                                0.171    0.006   ---       ---      0.02730   
f011    2003lh   Ia       wcc7     12   02:10:19.505   -04:59:32.063   Keck+LRIS                                        2003-12-21.310                                                0.544    0.006   ---       ---      0.02000   
f017    ---      AGN      wdd9     10   02:28:38.844   -09:11:09.202   Gemini+GMOS                                      2003-12-20.330                                                0.725    0.004   ---       ---      0.02542   
f041    2003le   Ia       wbb6      8   01:08:08.739   +00:27:09.580   Keck+LRIS                                        2003-12-20.230                                                0.560    0.004   ---       ---      0.02934   
f044    ---      Ia       wbb8      8   01:11:20.561   +00:04:10.020   MMT+BlueChannel                                  2003-12-21.100                                                ---      ---     0.4078    0.0003   0.02544   
