"ID","Name","RA","DEC","Type","Redshift","Host Name","Host Redshift","Source Group","Associated Group/s","Disc. Internal Name","TNS AT","Public","End Prop. Period","Discovery Mag","Discovery Mag Filter","Discovery Date (UT)","Sender","Ext. catalog/s"
"17584","AT 2017ui","11:19:40.33","-05:22:40.69","","","","","Pan-STARRS1","Pan-STARRS1","PS17ahk","1","1","","21.69","w-PS1","2017-01-26 13:14:52","PS1_Bot1",""
"17585","AT 2017uj","11:17:10.17","-05:15:39.19","","","","","Pan-STARRS1","Pan-STARRS1","PS17ahj","1","1","","21.66","w-PS1","2017-01-26 12:57:36","PS1_Bot1",""
"17586","AT 2017uk","11:25:53.04","-01:51:41.15","","","","","Pan-STARRS1","Pan-STARRS1","PS17ahm","1","1","","19.59","w-PS1","2017-01-26 12:59:02","PS1_Bot1",""
"17587","AT 2017ul","11:21:12.24","-02:58:58.89","","","","","Pan-STARRS1","Pan-STARRS1","PS17ahl","1","1","","18.72","w-PS1","2017-01-26 12:59:02","PS1_Bot1",""
"17588","AT 2017um","11:28:05.37","-01:36:39.77","","","","","Pan-STARRS1","Pan-STARRS1","PS17aho","1","1","","20.9","w-PS1","2017-01-26 13:07:40","PS1_Bot1",""
"17589","AT 2017un","11:27:18.59","-05:31:52.87","","","","","Pan-STARRS1","Pan-STARRS1","PS17ahn","1","1","","20.81","w-PS1","2017-01-26 13:00:28","PS1_Bot1",""
"17590","AT 2017uo","11:46:45.70","-06:16:31.45","","","","","Pan-STARRS1","Pan-STARRS1","PS17aia","1","1","","20.89","w-PS1","2017-01-26 13:03:21","PS1_Bot1",""
"17591","AT 2017up","11:34:58.79","-00:52:02.41","","","","","Pan-STARRS1","Pan-STARRS1","PS17ahz","1","1","","20.85","w-PS1","2017-01-26 13:07:40","PS1_Bot1",""
"17592","AT 2017uq","12:14:25.16","-02:03:25.84","","","","","Pan-STARRS1","Pan-STARRS1","PS17aig","1","1","","18.86","w-PS1","2017-01-26 14:03:50","PS1_Bot1",""
"17593","AT 2017ur","12:09:57.32","-03:29:08.96","","","","","Pan-STARRS1","Pan-STARRS1","PS17aif","1","1","","21.35","w-PS1","2017-01-26 14:05:16","PS1_Bot1",""
"17594","AT 2017us","12:05:34.70","-06:46:21.67","","","","","Pan-STARRS1","Pan-STARRS1","PS17aie","1","1","","20.67","w-PS1","2017-01-26 14:06:43","PS1_Bot1",""
"17595","AT 2017ut","11:57:12.67","-03:21:25.62","","","","","Pan-STARRS1","Pan-STARRS1","PS17aid","1","1","","20.83","w-PS1","2017-01-26 13:04:48","PS1_Bot1",""
"17596","AT 2017uu","11:53:26.45","-04:05:01.88","","","","","Pan-STARRS1","Pan-STARRS1","PS17aic","1","1","","21.24","w-PS1","2017-01-26 13:01:55","PS1_Bot1",""
"17597","AT 2017uv","11:53:07.52","-04:51:58.16","","","","","Pan-STARRS1","Pan-STARRS1","PS17aib","1","1","","21.34","w-PS1","2017-01-26 13:01:55","PS1_Bot1",""
