# sn2001el    251.522402  -51.393884  0.014   0.0038960    0.0036759    56.133000  -44.644833
# *************************************************************************************************
# 
# Krisciunas 2003 AJ, 125, 166
Observation MJD Passband Mag MagErr_minus MagErr_plus
52210.31_Pizarro+YALO 52210.31 J 14.148 0.025 0.025
52210.31_Pizarro+YALO 52210.31 H 13.046 0.042 0.042
52210.31_Pizarro+YALO 52210.31 K 13.029 0.053 0.053
52213.17_Espinoza+YALO 52213.17 J 13.915 0.023 0.023
52213.17_Espinoza+YALO 52213.17 H 13.11 0.041 0.041
52213.17_Espinoza+YALO 52213.17 K 13.073 0.049 0.049
52216.22_Espinoza+YALO 52216.22 J 14.015 0.021 0.021
52216.22_Espinoza+YALO 52216.22 H 13.254 0.039 0.039
52216.22_Espinoza+YALO 52216.22 K 13.31 0.043 0.043
52222.24_D._Gonzalez+YALO 52222.24 J 14.649 0.025 0.025
52222.24_D._Gonzalez+YALO 52222.24 H 13.799 0.043 0.043
52222.24_D._Gonzalez+YALO 52222.24 K 13.871 0.058 0.058
52225.21_D._Gonzalez+YALO 52225.21 J 14.786 0.028 0.028
52225.21_D._Gonzalez+YALO 52225.21 H 13.845 0.048 0.048
52225.21_D._Gonzalez+YALO 52225.21 K 13.893 0.058 0.058
52228.22_Espinoza+YALO 52228.22 J 15.073 0.026 0.026
52228.22_Espinoza+YALO 52228.22 H 14.024 0.044 0.044
52228.22_Espinoza+YALO 52228.22 K 14.112 0.053 0.053
52231.20_Espinoza+YALO 52231.2 J 15.223 0.027 0.027
52231.20_Espinoza+YALO 52231.2 H 14.123 0.045 0.045
52231.20_Espinoza+YALO 52231.2 K 14.305 0.056 0.056
52234.22_D._Gonzalez+YALO 52234.22 J 15.413 0.026 0.026
52234.22_D._Gonzalez+YALO 52234.22 H 14.246 0.044 0.044
52234.22_D._Gonzalez+YALO 52234.22 K 14.404 0.059 0.059
52237.23_D._Gonzalez+YALO 52237.23 J 15.668 0.033 0.033
52237.23_D._Gonzalez+YALO 52237.23 H 14.382 0.053 0.053
52237.23_D._Gonzalez+YALO 52237.23 K 14.537 0.065 0.065
52238.29_S._Gonzalez+LCO_1_m 52238.29 J 15.713 0.02 0.02
52238.29_S._Gonzalez+LCO_1_m 52238.29 H 14.355 0.054 0.054
52238.29_S._Gonzalez+LCO_1_m 52238.29 K 14.711 0.038 0.038
52240.20_S._Gonzalez+LCO_1_m 52240.2 J 15.879 0.02 0.02
52240.20_S._Gonzalez+LCO_1_m 52240.2 H 14.514 0.039 0.039
52240.20_S._Gonzalez+LCO_1_m 52240.2 K 14.69 0.053 0.053
52240.22_D._Gonzalez+YALO 52240.22 J 15.843 0.034 0.034
52240.22_D._Gonzalez+YALO 52240.22 H 14.521 0.055 0.055
52240.22_D._Gonzalez+YALO 52240.22 K 14.711 0.077 0.077
52241.19_S._Gonzalez+LCO_1_m 52241.19 J 15.964 0.02 0.02
52241.19_S._Gonzalez+LCO_1_m 52241.19 H 14.492 0.016 0.016
52241.19_S._Gonzalez+LCO_1_m 52241.19 K 14.798 0.048 0.048
52242.19_S._Gonzalez+LCO_1_m 52242.19 J 16.03 0.025 0.025
52242.19_S._Gonzalez+LCO_1_m 52242.19 H 14.562 0.022 0.022
52242.19_S._Gonzalez+LCO_1_m 52242.19 K 14.751 0.059 0.059
52243.18_S._Gonzalez+LCO_1_m 52243.18 J 16.069 0.024 0.024
52243.18_S._Gonzalez+LCO_1_m 52243.18 H 14.548 0.08 0.08
52243.24_Espinoza+YALO 52243.24 J 16.107 0.033 0.033
52243.24_Espinoza+YALO 52243.24 H 14.609 0.055 0.055
52243.24_Espinoza+YALO 52243.24 K 14.78 0.075 0.075
52244.21_S._Gonzalez+LCO_1_m 52244.21 J 16.089 0.046 0.046
52244.21_S._Gonzalez+LCO_1_m 52244.21 K 14.833 0.044 0.044
52246.27_Espinoza+YALO 52246.27 J 16.289 0.043 0.043
52246.27_Espinoza+YALO 52246.27 H 14.857 0.067 0.067
52246.27_Espinoza+YALO 52246.27 K 14.938 0.081 0.081
