#MJD,mag,mag_err,filter,instrument
56445.01,17.42,0.08,U,NOT
56445.01,17.45,0.07,B,NOT
56445.01,17.22,0.07,V,NOT
56456.95,18.74,0.25,U,NOT
56456.95,18.69,0.19,B,NOT
56456.95,17.61,0.10,V,NOT
56465.12,19.25,0.34,B,NOT
56465.12,18.04,0.16,V,NOT
56417.42,18.30,0.23,H,RATIR
56417.42,18.88,0.14,Y,RATIR
56417.42,18.35,0.03,i,RATIR
56417.42,18.14,0.03,r,RATIR
56417.42,18.64,0.07,z,RATIR
56424.37,17.88,0.18,H,RATIR
56424.37,17.08,0.06,J,RATIR
56424.37,17.79,0.12,Y,RATIR
56424.37,17.19,0.03,i,RATIR
56424.37,16.76,0.03,r,RATIR
56424.37,17.38,0.04,z,RATIR
56428.34,17.75,0.19,H,RATIR
56428.34,17.28,0.09,J,RATIR
56428.34,17.93,0.15,Y,RATIR
56428.34,17.23,0.03,i,RATIR
56428.34,16.55,0.03,r,RATIR
56428.34,17.25,0.04,z,RATIR
56433.32,17.38,0.03,i,RATIR
56433.32,16.55,0.03,r,RATIR
56435.35,18.46,0.22,H,RATIR
56435.35,17.76,0.15,J,RATIR
56435.35,19.01,0.30,Y,RATIR
56435.35,17.44,0.03,i,RATIR
56435.35,16.63,0.04,r,RATIR
56435.35,17.44,0.04,z,RATIR
56438.41,17.62,0.05,i,RATIR
56438.41,16.78,0.04,r,RATIR
56441.35,19.39,0.18,Y,RATIR
56441.35,17.91,0.05,i,RATIR
56441.35,16.99,0.04,r,RATIR
56441.35,17.77,0.04,z,RATIR
56447.34,18.09,0.18,H,RATIR
56447.34,18.95,0.32,Y,RATIR
56447.34,18.26,0.04,i,RATIR
56447.34,17.38,0.04,r,RATIR
56447.34,17.86,0.05,z,RATIR
56459.34,17.82,0.18,H,RATIR
56459.34,18.78,0.39,J,RATIR
56459.34,18.23,0.13,Y,RATIR
56459.34,18.02,0.03,i,RATIR
56459.34,17.59,0.04,r,RATIR
56459.34,17.89,0.05,z,RATIR
56463.24,17.89,0.19,H,RATIR
56463.24,18.30,0.27,J,RATIR
56463.24,17.93,0.15,Y,RATIR
56463.24,17.98,0.03,i,RATIR
56463.24,17.74,0.05,r,RATIR
56463.24,17.88,0.06,z,RATIR
