SNHunt des.,IAU des.,Discovery,Discoverer,Survey,Host galaxy,RA,Dec,Type,Notes
SNhunt65,SN 2011kh,6/7/2011,Howerton,CSS,NGC 7189,22h03m15.1s,+00:34:25,II,Stu Parker prediscovery.  PTF 2011-06-13
SNhunt66,,6/11/2011,Howerton,MLS,2MASX J22404256-0605116,22h40m42.5s,-06:05:28,PSN,
SNhunt67,,6/25/2011,Howerton,MLS,UGC 358,00h36m12.9s,+01:43:03,PSN,On reference
SNhunt68,,6/28/2011,Howerton,SSS,MCG-02-52-004,20h24m20.4s,-11:02:56,LBV/PSN,
SNhunt69,,7/1/2011,Howerton,SSS,ESO 294-G16,00h27m11.1s,-40:59:21,PSN,
SNhunt70,,7/24/2011,Howerton,SSS,IC 5034,20h43m41.1s,-57:02:14,PSN,Unconfirmed
SNhunt71,SN 2011fz,9/18/2011,Howerton,CSS,UGC 12271,22h58m20.3s,+02:17:30,Ib/c,CRTS auto detection same day
SNhunt72,SN 2011gh,9/19/2011,Howerton,CSS,NGC 2405,07h32m14.9s,+25:54:15,Ib/c,
SNhunt73,SN 2011gi,9/21/2011,Howerton,CSS,CGCG 479-038,00h32m43.0s,+26:06:52,Ia,SN 1991T-like
SNhunt74,SN 2011gl,9/23/2011,Howerton,SSS,PGC 16578,05h01m43.1s,-15:23:25,Ia,
SNhunt75,SN 2011gq,9/26/2011,Howerton,MLS,2MASX J21422906-1606427,21h42m28.4s,-16:06:31,Ia,
SNhunt76,SN 2011gt,9/26/2011,Howerton,SSS,IC 4913,19h56m48.3s,-37:19:38,Ia,
SNhunt77,,9/28/2011,Howerton,MLS,SDSS J014912.05+125215.2,01h49m12.1s,+12:52:15,PSN,Unconfirmed
SNhunt78,SN 2011gp,9/30/2011,Howerton,MLS,UGC 3119,04h39m08.0s,+11:31:52,II,
SNhunt79,,9/30/2011,Howerton,CSS,Arp 143,07h46m54.3s,+39:01:22,LBV?,
SNhunt80,SN 2011hn,10/3/2011,Howerton,CSS,IC 2428,09h03m17.5s,+30:35:36,IIP,
SNhunt81,SN 2011gx,10/3/2011,Howerton,SSS,ESO 252-G10,05h06m05.8s,-45:03:00,IIP,
SNhunt82,,10/6/2011,Howerton,MLS,UGC 2553,03h08m31.3s,+20:46:31,PSN,
SNhunt83,,10/18/2011,Howerton,MLS,CGCG 054-031,17h29m00.6s,+08:50:04,PSN,
SNhunt84,,10/18/2011,Howerton,CSS,CGCG 505-055,02h50m48.2s,+33:30:46,PSN?,Probable subtraction artifact
SNhunt85,,10/21/2011,Howerton,MLS,UGC 889,01h21m09.9s,+17:51:45,,Unconfirmed
SNhunt86,SN 2011hb,10/24/2011,Howerton,CSS,NGC 7674,23h27m55.5s,+08:46:46,Ia,PTF 2011-10-22
SNhunt87,,10/24/2011,Howerton,CSS,UGC 4056,07h51m34.0s,+42:52:46,PSN,
SNhunt88,SN 2011hm,10/27/2011,Howerton,CSS,MCG-01-6-031,02h02m13.4s,-06:05:02,II,
SNhunt89,SN 2011ho,10/28/2011,Howerton,CSS,NGC 3847,11h44m13.0s,+33:30:58,Ia,SN 1991bg-like (subluminous)
SNhunt90,,11/19/2011,Howerton,CSS,NGC 6350,17h18m43.8s,+41:41:10,PSN,Image from 2011-11-17
SNhunt91,SN 2011ih,11/19/2011,Howerton,MLS,UGC 1774,02h18m27.8s,+05:33:17,II,
SNhunt92,SN 2011ik,11/24/2011,Howerton,MLS,UGC 1871,02h25m04.1s,+22:12:52,Ia,
SNhunt93,SN 2011je,11/27/2011,Howerton,MLS,2MASX J04055455+1328159,04h05m53.8s,+13:28:13,II pec,
SNhunt94,SN 2011jk,11/27/2011,Howerton,MLS,UGC 3843,07h25m43.1s,+20:06:22,IIP,
SNhunt95,,11/28/2011,Howerton,MLS,UGC 2593,03h13m06.6s,+28:37:57,PSN,
SNhunt96,SN 2011jj,12/1/2011,Howerton,CSS,MCG+05-04-059,01h26m31.8s,+31:37:03,IIP,Brimacombe pre-discovery
SNhunt97,SN 2011jm,12/24/2011,Howerton,CSS,NGC 4809,12h54m51.1s,+02:39:15,Ic,Prior LBV activity?
SNhunt106,,12/30/2011,Howerton,CSS,UGC 9708,15h06m31.6s,+09:26:36,PSN,
SNhunt98,,12/31/2011,Howerton,CSS,MCG+05-52-006,22h16m11.2s,+27:54:25,PSN,
SNhunt99,SN 2011js,12/31/2011,Howerton,CSS,NGC 1103,02h48m05.0s,-13:57:51,II/IIn,Chase 2011-12-31
SNhunt100,,1/1/2012,Howerton,MLS,UGC 5440,10h05m36.7s,+04:16:48,PSN,
SNhunt101,,1/4/2012,Howerton,CSS,NGC 5125,13h24m01.0s,+09:42:53,PSN,
SNhunt102,SN 2012D,1/13/2012,Howerton,CSS,MRK 57,12h58m37.1s,+27:10:25,IIP,PTF 2012-01-03
SNhunt103,,1/16/2012,Howerton,SSS,ESO 123-G9,07h22m53.5s,-62:02:36,PSN,
SNhunt104,SN 2012bu,1/16/2012,Howerton,SSS,NGC 3449,10h52m56.6s,-32:56:07,IIP,
SNhunt105,,1/18/2012,Howerton,SSS,IC 1810,02h29m25.7s,-43:04:52,PSN,
SNhunt107,,1/26/2012,Howerton,CSS,NGC 3826,11h42m34.5s,+26:28:19,PSN,
SNhunt108,SN 2012W,1/27/2012,Howerton,CSS,NGC 268,00h50m09.0s,-05:11:18,II,
SNhunt109,SN 2012Y,1/27/2012,Howerton,CSS,CSS J045027.83-032924.5,04h50m27.8s,-03:29:25,IIn,PTF 2012-01-18
SNhunt110,,2/12/2012,Howerton,CSS,NGC 1218,03h08m27.6s,+04:05:35,PSN,
SNhunt111,SN 2012at,2/15/2012,Howerton,SSS,ESO 361-G19,04h54m52.8s,-37:19:16,Ic,Image from 2012-02-06
SNhunt112,SN 2012al,2/24/2012,Drake,CSS,SDSS J100611.45+471742.0,10h06m11.6s,+47:17:41,IIn,
SNhunt113,,2/25/2012,Howerton,MLS,UGC 4139,07h59m23.3s,+16:25:11,LBV/PSN,
SNhunt114,,2/26/2012,Howerton,CSS,2MASX J10572260+4055532,10h57m22.6s,+40:55:55,,Probable subtraction artifact
SNhunt115,SN 2012bi,3/3/2012,Howerton,CSS,UGC 7217,12h13m00.2s,+27:16:57,Ia,Rich official credit 2012-03-21
SNhunt116,,3/4/2012,Howerton,MLS,IC 678,11h14m05.8s,+06:34:58,QSO,Known QSO
SNhunt117,SN 2012au,3/14/2012,Howerton,CSS,NGC 4790,12h54m52.2s,-10:14:50,Ib,
SNhunt118,,3/23/2012,Howerton,CSS,UGC 8510,13h31m19.3s,+29:22:02,PSN,
SNhunt119,,3/23/2012,Howerton,SSS,ESO 427-G13,06h51m11.5s,-30:24:57,II,
SNhunt120,,3/27/2012,Howerton,CSS,NGC 5775,14h53m54.0s,+03:34:05,LBV,Confirmed LBV
SNhunt121,SN 2012hn,4/12/2012,Howerton,SSS,NGC 2272,06h42m42.6s,-27:26:50,Ic pec,
SNhunt122,SN 2012bw,4/22/2012,Howerton,CSS,UGC 10282,16h12m56.1s,+32:30:42,Ic,
SNhunt123,,4/29/2012,Howerton,SSS,ESO 205-G11,05h57m39.2s,-51:58:20,PSN,Monard prediscovery
SNhunt124,,5/12/2012,Howerton,CSS,UGC 9120,14h15m12.4s,+04:49:39,PSN,
SNhunt125,,5/15/2012,Howerton,CSS,PGC 18180,05h59m02.0s,-52:28:22,PSN,
SNhunt126,,5/15/2012,Howerton,SSS,IC 4252,13h27m24.7s,-27:19:19,PSN,
SNhunt127,,5/16/2012,Howerton,SSS,NGC 7309,22h34m21.8s,-10:20:56,LBV?,
SNhunt128,,5/17/2012,Howerton,CSS,UGC 4614,08h49m16.2s,+36:07:03,PSN,
SNhunt129,,5/19/2012,Howerton,CSS,UGC 4007,07h46m27.0s,+48:19:47,PSN,
SNhunt130,SN 2012cr,5/25/2012,Howerton,MLS,NGC 4626,12h42m24.5s,-07:02:58,II,
SNhunt131,SN 2012cz,5/25/2012,Howerton,CSS,KUG 1555+165,15h57m46.4s,+16:22:27,IIn,
SNhunt132,,5/25/2012,Howerton,SSS,ESO 342-G52,21h29m04.9s,-41:46:30,PSN,
SNhunt133,,6/8/2012,Howerton,CSS,NGC 6315,17h12m46.1s,+23:13:25,TDE?,
SNhunt134,,6/12/2012,Howerton,CSS,IC 775,12h18m53.9s,+12:55:07,PSN,
SNhunt135,SN 2012cy,6/14/2012,Howerton,MLS,NGC 3462,10h55m21.8s,+07:41:50,Ia,
SNhunt136,SN 2012cu,6/14/2012,Howerton,CSS,NGC 4772,12h53m29.4s,+02:09:39,Ia,Itagaki official credit 2012-06-14
SNhunt137,SN 2012dp,6/16/2012,Howerton,CSS,IC 1155,16h00m35.1s,+15:41:04,Ib,PTF 2012-06-09
SNhunt138,,6/17/2012,Howerton,MLS,2MASX J19564713-1811347,19h56m46.7s,-18:11:40,PSN,CV in same image
SNhunt139,,6/19/2012,Howerton,CSS,NGC 3534B,11h08m56.5s,+26:35:30,PSN,
SNhunt140,,7/7/2012,Howerton,SSS,ESO 323-G44,12h55m40.0s,-39:32:18,PSN,
SNhunt141,,7/24/2012,Howerton,SSS,NGC 5247,13h37m57.2s,-17:54:27,IIP,
SNhunt142,SN 2012im,7/25/2012,Howerton,SSS,NGC 6984,20h57m53.9s,-51:52:25,Ic,
SNhunt143,,7/30/2012,Howerton,SSS,2MASX J23490180-1632312,23h49m01.8s,-16:32:34,PSN,
SNhunt144,,8/6/2012,Howerton,SSS,ESO 286-G75,21h12m08.9s,-47:03:13,Ia,
SNhunt145,SN 2012ee,8/13/2012,Howerton,CSS,IC 5050,20h45m15.3s,-05:37:22,Ia,Simone Leonini pre-discovery
SNhunt146,,8/28/2012,Howerton,SSS,NGC 1296,03h18m51.1s,-13:03:47,Ia,
SNhunt147,,9/3/2012,Howerton,SSS,UGCA 391,14h35m22.9s,-13:43:57,PSN,
SNhunt148,,9/8/2012,Howerton,SSS,ESO 112-G4,00h28m05.0s,-58:06:07,II,
SNhunt149,SN 2012ex,9/16/2012,Howerton,CSS,UGC 838,01h18m46.0s,+14:59:40,Ib,Simone Leonini et al. 2012-09-10
SNhunt150,SN 2012ey,9/16/2012,Howerton,MLS,PGC 9159,02h24m50.6s,+16:10:54,II/IIb,
SNhunt151,,9/25/2012,Howerton,MLS,UGC 3165,04h47m30.0s,+23:58:56,LBV to IIn,
SNhunt152,,10/11/2012,Howerton,CSS,ESO 543-G21,01h52m29.7s,-18:46:39,II,Image from 2012-10-09
SNhunt153,,10/13/2012,Howerton,CSS,NGC 474,01h19m59.5s,+03:25:01,,Nonexistent
SNhunt154,,10/14/2012,Howerton,CSS,UGC 5232,09h46m45.2s,+13:46:51,Ia,
SNhunt155,SN 2012fi,10/15/2012,Howerton,CSS,PGC 17166,05h21m25.9s,-16:52:56,IIP,Light curve suggests 1987A-like
SNhunt156,,11/4/2012,Howerton,CSS,NGC 3306,10h37m10.2s,+12:39:09,,Probable subtraction artifact
SNhunt158,,11/14/2012,Howerton,CSS,CGCG 011-100,11h27m36.8s,+00:23:45,,Probable subtraction artifact
SNhunt157,SN 2012gy,11/15/2012,Howerton,CSS,SDSS J075635.70+395405.0,07h56m35.6s,+39:54:07,Ia,Super-Chandrasekhar?
SNhunt159,,11/23/2012,Howerton,CSS,MCG-02-12-024,04h28m44.9s,-12:30:16,LBV?,
SNhunt160,,11/24/2012,Howerton,SSS,ESO 302-G15,03h52m06.1s,-39:03:55,,Unconfirmed
SNhunt161,SN 2012hl,12/4/2012,Howerton,CSS,SDSS J005017.67+243154.4,00h50m17.8s,+24:31:52,Ia,
SNhunt162,SN 2012hw,12/11/2012,Howerton,CSS,MCG+08-18-023,09h41m38.0s,+48:40:26,IIP,THU-NAOC 2012-12-22
SNhunt163,,12/17/2012,Howerton,CSS,NGC 2924,09h35m11.7s,-16:24:18,Ia,
SNhunt164,,12/20/2012,Howerton,CSS,MCG+03-22-020,08h38m24.0s,+17:37:19,,Unconfirmed
SNhunt165,,12/20/2012,Howerton,CSS,CGCG 091-041,09h16m10.3s,+17:39:38,,Subtraction artifact?
SNhunt166,SN 2013F,1/5/2013,Howerton,SSS,IC 5325,23h28m45.0s,-41:19:56,Ib/c,
SNhunt167,SN 2013G,1/5/2013,Howerton,CSS,NGC 3947,11h53m21.3s,+20:45:10,Ia,Simone Leonini pre-discovery
SNhunt168,SN 2013P,1/15/2013,Howerton,CSS,MCG+05-22-020,09h13m37.2s,+29:59:59,Ia,Initially Ic then IIb
SNhunt169,SN 2013T,1/22/2013,Howerton,CSS,UGC 8250,13h10m19.7s,+32:28:26,Ia,MASTER prediscovery
SNhunt170,,2/8/2013,Howerton,CSS,CGCG 500-019,00h25m14.0s,+30:02:17,PSN,
SNhunt171,SN 2013aw,3/11/2013,Howerton,MLS,FGC 1085,10h30m58.5s,+20:04:53,II,
SNhunt172,,3/13/2013,Howerton,CSS,GALEXASC J112409.13-121944.1,11h24m09.3s,-12:19:39,II,Overluminous?
SNhunt173,,3/15/2013,Howerton,CSS,UGC 2090,02h36m38.2s,+34:36:41,PSN,
SNhunt174,,3/15/2013,Howerton,SSS,ESO 90-G4,08h38m41.8s,-64:20:48,IIP,
SNhunt175,,3/17/2013,Howerton,CSS,NGC 5910,15h19m25.0s,+20:54:02,Ia,
SNhunt179,SN 2013bd,3/17/2013,Howerton,MLS,ESO 583-G5,15h42m58.1s,-18:23:47,IIb,
SNhunt176,,3/23/2013,Howerton,CSS,UGC 9367,14h33m20.9s,+34:44:32,PSN,
SNhunt177,SN 2013az,3/24/2013,Howerton,SSS,ESO 306-G16,05h39m52.1s,-40:30:28,Ia,
SNhunt178,SN 2013bc,3/31/2013,Howerton,MLS,IC 4209,13h10m21.3s,-07:10:24,Ia,SN 1991bg-like (subluminous)
SNhunt180,SN 2013bb,4/3/2013,Howerton,CSS,NGC 5504,14h12m14.0s,+15:50:32,IIb,
SNhunt181,,4/6/2013,Howerton,CSS,IC 3128A,12h18m41.3s,+11:43:53,Ib/c,LSQ 2013-04-17
SNhunt182,,4/7/2013,Howerton,MLS,2MASX J10255796+1241086,10h25m57.0s,+12:41:18,PSN,
SNhunt183,SN 2013bk,4/7/2013,Howerton,SSS,IC 553,09h40m47.6s,-05:26:12,Ic,
SNhunt184,,4/11/2013,Howerton,MLS,CGCG 015-059,13h03m16.9s,+01:28:07,,Unconfirmed
SNhunt185,,4/11/2013,Howerton,MLS,UGC 9526,14h47m36.2s,-00:30:46,II,
SNhunt186,SN 2013bw,4/14/2013,Howerton,CSS,UGC 5886,10h46m52.4s,-01:23:27,II,
SNhunt187,,4/17/2013,Howerton,MLS,SDSS J102330.58+105714.0,10h23m30.7s,+10:57:14,Asteroid,(38456) 1999 TO6
SNhunt188,SN 2013bz,4/21/2013,Howerton,MLS,2MASX J13265081-1001263,13h26m51.3s,-10:01:32,Ia,Super Chandrasekhar?
SNhunt189,,4/22/2013,Howerton/Drake,SSS,ESO 384-G57,14h07m56.7s,-33:29:24,PSN,
SNhunt190,,4/25/2013,Howerton,SSS,NGC 3139,10h10m04.7s,-11:46:35,Ia,LSQ 2013-04-20. TDE?
SNhunt191,,4/30/2013,Howerton,CSS,NGC 2530,08h07m53.9s,+17:48:53,PSN,
SNhunt192,,5/4/2013,Howerton,CSS,IC 4041,13h00m41.1s,+27:59:52,,Not confirmed
SNhunt193,,5/7/2013,Howerton,CSS,UGC 7763,12h35m53.8s,-01:51:19,PSN,
SNhunt194,SN 2013cn,5/10/2013,Howerton,CSS,UGC 11076,17h58m50.3s,+34:00:17,IIP,
SNhunt195,,5/13/2013,Howerton,MLS,NGC 3362,10h44m 51.0s,+06:36:09,LBV/PSN,
SNhunt199,,5/14/2013,Howerton,CSS,UGC 6462,11h27m47.5s,+07:59:23,PSN,
SNhunt196,SN 2013cs,5/14/2013,Howerton,SSS,ESO 576-G17,13h15m14.8s,-17:57:56,Ia,LSQ 2013-05-12.  Super-Chan.?
SNhunt197,,5/18/2013,Howerton,MLS,2MASX J12255630-0358350,12h25m 56.9s,-03:58:39,PSN,
SNhunt198,,5/21/2013,Howerton,MLS,UGC 10130,16h01m21.0s,+08:49:52,LBV/PSN,PS1 2013-06-12
SNhunt200,,6/1/2013,Howerton,CSS,UGC 7807,12h38m38.3s,+01:28:42,PSN,
SNhunt201,,6/6/2013,Howerton,CSS,UGC 5315,09h54m15.6s,+37:18:04,PSN,
SNhunt202,SN 2013di,6/12/2013,Howerton,CSS,NGC 7321,22h36m27.5s,+21:36:54,Ia,
SNhunt203,,6/15/2013,Howerton,CSS,NGC 6267,16h58m08.3s,+22:59:24,LBV?,
SNhunt204,,6/16/2013,Howerton,SSS,IC 2576,10h25m59.8s,-32:54:10,PSN,
SNhunt205,SN 2013dq,6/27/2013,Howerton,CSS,UGC 525,00h51m34.8s,+29:43:15,Ia,SN 1991T-like
SNhunt206,,9/5/2013,Howerton,CSS,NGC 766,01h58m42.8s,+08:20:38,Ia,
SNhunt207,,9/16/2013,Howerton,CSS,UGC 899,01h21m36.9s,+20:55:11,AGN/PSN,
SNhunt208,,9/17/2013,Howerton,CSS,UGC 2339,02h51m24.9s,+16:02:11,,Unconfirmed
SNhunt210,,9/24/2013,Drake,CSS,KPG 105A,05h19m17.5s,+01:19:32,PSN,Image 2010-09-23
SNhunt211,SN 2013fn,9/24/2013,Howerton,MLS,IC 1342,21h00m23.8s,-14:29:52,Ia,Image 2010-09-23
SNhunt212,,9/24/2013,Howerton,CSS,NGC 2596,08h27m28.8s,+17:17:20,PSN,
SNhunt213,SN 2013fr,9/28/2013,Howerton,CSS,CGCG 487-023,04h08m02.4s,+23:17:39,IIn,
SNhunt214,SN 2013hb,10/7/2013,Howerton,CSS,VI Zw 062,01h50m46.3s,+33:06:36,Ia pec,SN 1991T-like?
SNhunt215,,10/22/2013,Howerton,CSS,2MASX J22461316-0750418,22h46m14.1s,-07:50:54,PSN,
SNhunt216,,10/24/2013,Howerton,CSS,IC 1221,16h34m42.0s,+46:23:49,PSN,
SNhunt217,,10/26/2013,Howerton,MLS,FGC 2324,21h24m32.3s,-11:27:57,,Unconfirmed
SNhunt218,,10/26/2013,Howerton,CSS,NGC 0664:[ZM98] 0108,01h42m50.4s,+04:11:55,PSN,
SNhunt219,,11/8/2013,Howerton,MLS,SDSS J105936.10+061257.5,10h59m36.0s,+06:12:57,PSN,
SNhunt220,,11/26/2013,Howerton,CSS,UGC 6719,11h44m46.0s,+20:06:57,PSN,
SNhunt221,SN 2013hd,12/2/2013,Howerton,MLS,UGC 2895,03h54m21.4s,+17:35:05,Ib/c,
SNhunt222,,12/14/2013,Howerton,CSS,UGC 5376,10h00m25.9s,+03:22:53,II,LSQ 2014-02-04
SNhunt223,,12/24/2013,Howerton,CSS,MCG-02-16-002,06h04m36.7s,-12:37:41,IIn,PS1 2014-03-19
SNhunt224,SN 2013hs,12/25/2013,Howerton,CSS,UGC 1461,01h58m53.7s,+05:35:25,Ia,
SNhunt225,,12/26/2013,Howerton,CSS,NGC 2403,07h37m04.2s,+65:35:47,LBV,NGC 2403 V22
SNhunt226,,12/31/2013,Howerton,MLS,WISEP J045721.63+240237.4,04h57m21.6s,+24:02:44,PSN,
SNhunt227,SN 2013ht,12/31/2013,Howerton,CSS,MCG-02-28-021,10h55m51.0s,-09:51:42,II,
SNhunt228,,1/2/2014,Howerton,CSS,APMUKS(BJ) B134639.91-065657.4,13h48m17.1s,-07:11:51,PSN,Image 2014-01-01
SNhunt229,SN 2014D,1/2/2014,Howerton,CSS,UGC 7170,12h10m36.8s,+18:49:35,Ia,Image 2014-01-01
SNhunt230,,1/2/2014,Howerton,CSS,UGC 6452,11h27m17.5s,+59:36:01,PSN/CV,
