Title: Precursors prior to Type IIn supernova explosions are common: 
       precursor rates, properties, and correlations 
Authors: Ofek E.O., Sullivan M., Shaviv N.J., Steinbok A., Arcavi I., 
         Gal-Yam A., Tal D., Kulkarni S.R., Nugent P.E., Ben-Ami S., 
         Kasliwal M.M., Cenko S.B., Laher R., Surace J., Bloom J.S., 
         Filippenko A.V., Silverman J.M., Yaron O. 
Table: SN Observations
================================================================================
Byte-by-byte Description of file: apj496516t2_mrt.txt
--------------------------------------------------------------------------------
   Bytes Format Units   Label   Explanations
--------------------------------------------------------------------------------
   1-  9 A9     ---     SN      Supernova identifier
  11- 11 A1     ---     Filter  Filter used in the observation
  13- 22 F10.5  d       Time    Time relative to t_rise
PTF10aaxf R -178.85000 55295.15000 78.680   -8.619 21.878     -4.7    37.3 
PTF10aaxf R -178.76200 55295.23800 79.173   -5.929 21.791     -7.4    40.4 
PTF10aaxf R   39.44400 55513.44400 13.510    0.003 18.887 248813.3   586.5 
PTF10aaxf R   39.48700 55513.48700 13.517    0.002 18.961 247225.2   547.4 
PTF10aaxf R   40.48900 55514.48900 13.528    0.004 18.506 244720.3   833.0 
PTF10aaxf R   40.53300 55514.53300 13.530    0.003 18.605 244260.2   760.1 
PTF10aaxf R   41.55500 55515.55500 13.545    0.041 15.899 241074.2  9186.6 
PTF10aaxf R   42.38800 55516.38800 13.537    0.004 18.383 242806.7   932.2 
PTF10aaxf R   42.43200 55516.43200 13.505    0.057 15.513 250121.1 13106.7 
PTF10aaxf R   43.38600 55517.38600 13.554    0.004 18.369 239045.2   944.7 
PTF10aaxf R   43.43000 55517.43000 13.549    0.004 18.397 240195.4   920.7 
PTF10aaxf R   44.39900 55518.39900 13.555    0.005 18.186 238808.7  1118.6 
PTF10aaxf R   44.44300 55518.44300 13.577    0.042 15.909 234006.5  9104.8 
PTF10aaxf R   45.39600 55519.39600 13.560    0.005 18.143 237708.7  1163.1 
PTF10aaxf R   45.43900 55519.43900 13.552    0.006 17.972 239398.6  1361.2 
PTF10aaxf R   56.35100 55530.35100 13.640    0.002 19.246 220707.7   421.3 
PTF10aaxf R   56.39500 55530.39500 13.646    0.002 19.080 219637.2   490.9 
PTF10aaxf R   57.42300 55531.42300 13.680    0.043 16.004 212857.0  8339.6 
PTF10aaxf R   57.46700 55531.46700 13.662    0.006 18.064 216306.8  1251.5 
PTF10aaxf R   58.42900 55532.42900 13.804    0.042 16.148 189849.1  7303.0 
PTF10aaxf R   58.47400 55532.47400 13.669    0.005 18.380 214999.8   935.4 
PTF10aaxf R   59.47300 55533.47300 13.665    0.005 18.232 215780.9  1072.0 
PTF10aaxf R   59.51800 55533.51800 13.689    0.006 18.151 211047.9  1154.3 
PTF10aaxf R   61.36500 55535.36500 13.697    0.005 18.448 209552.7   878.6 
PTF10aaxf R   61.40800 55535.40800 13.686    0.005 18.316 211643.6   991.7 
PTF10aaxf R   63.36900 55537.36900 13.702    0.005 18.314 208625.6   994.1 
PTF10aaxf R   63.41300 55537.41300 13.700    0.009 17.766 208875.4  1646.8 
PTF10aaxf R   64.40000 55538.40000 13.717    0.051 15.853 205615.6  9590.1 
PTF10aaxf R   64.44300 55538.44300 13.758    0.033 16.342 198089.8  6108.8 
PTF10aaxf R   65.49800 55539.49800 13.769    0.040 16.155 196128.1  7258.5 
PTF10aaxf R   67.49400 55541.49400 13.738    0.004 18.713 201830.8   688.2 
PTF10aaxf R   68.49400 55542.49400 13.748    0.006 18.218 199975.2  1086.1 
PTF10aaxf R   68.53700 55542.53700 13.752    0.007 17.987 199207.3  1343.1 
PTF10aaxf R   69.49600 55543.49600 13.795    0.028 16.585 191440.9  4883.4 
PTF10aaxf R   69.55400 55543.55400 13.744    0.006 18.109 200607.0  1200.6 
PTF10aaxf R   83.42400 55557.42400 13.842    0.005 18.421 183373.5   900.5 
PTF10aaxf R   87.37300 55561.37300 13.865    0.005 18.528 179430.2   816.2 
PTF10aaxf R   87.42100 55561.42100 13.863    0.003 19.101 179745.6   481.4 
PTF10aaxf R   98.27800 55572.27800 13.912    0.003 19.284 171891.3   406.7 
PTF10aaxf R   99.48600 55573.48600 13.929    0.007 18.239 169256.2  1064.4 
PTF10aaxf R   99.53000 55573.53000 13.913    0.007 18.148 171641.7  1158.4 
PTF10aaxf R  100.48600 55574.48600 13.908    0.004 18.840 172431.2   612.4 
PTF10aaxf R  102.51600 55576.51600 13.859    0.002 19.385 180525.5   370.6 
PTF10aaxf R  102.56300 55576.56300 13.924    0.003 19.078 169934.0   491.6 
PTF10aaxf R  103.51600 55577.51600 13.925    0.004 18.944 169875.5   556.3 
PTF10aaxf R  103.56000 55577.56000 13.920    0.009 17.915 170603.7  1435.3 
PTF10aaxf R  105.30400 55579.30400 13.934    0.007 18.282 168412.5  1023.8 
PTF10aaxf R  105.34900 55579.34900 13.921    0.008 18.086 170471.1  1225.6 
PTF10aaxf R  106.30200 55580.30200 13.959    0.007 18.286 164658.1  1020.1 
PTF10aaxf R  106.34500 55580.34500 13.939    0.006 18.418 167581.8   902.9 
PTF10aaxf R  111.43300 55585.43300 13.970    0.004 18.870 162869.2   595.3 
PTF10aaxf R  111.48200 55585.48200 13.960    0.005 18.698 164442.9   697.7 
PTF10aaxf R  112.43900 55586.43900 13.965    0.006 18.394 163629.0   923.3 
PTF10aaxf R  112.48300 55586.48300 13.965    0.004 18.766 163644.6   655.3 
PTF10aaxf R  113.43600 55587.43600 13.967    0.004 18.857 163411.9   602.7 
PTF10aaxf R  113.48000 55587.48000 13.967    0.003 19.145 163421.5   462.1 
PTF10aaxf R  115.23300 55589.23300 13.976    0.003 19.200 162054.7   439.4 
PTF10aaxf R  115.27800 55589.27800 13.975    0.005 18.707 162131.8   692.1 
PTF10aaxf R  116.23200 55590.23200 13.983    0.007 18.283 160954.0  1022.8 
PTF10aaxf R  116.30200 55590.30200 13.972    0.005 18.673 162569.4   713.9 
PTF10aaxf R  117.27700 55591.27700 13.976    0.005 18.642 162052.3   734.7 
PTF10aaxf R  119.47000 55593.47000 13.985    0.005 18.712 160739.6   688.8 
PTF10aaxf R  119.51400 55593.51400 13.969    0.003 19.039 163057.7   509.7 
PTF10aaxf R  123.44000 55597.44000 13.995    0.004 18.832 159237.4   616.9 
PTF10aaxf R  123.48500 55597.48500 13.979    0.005 18.738 161581.7   672.4 
PTF10aaxf R  127.37800 55601.37800 13.975    0.003 19.342 162112.6   385.6 
PTF10aaxf R  129.25200 55603.25200 14.021    0.003 19.116 155466.3   474.6 
PTF10aaxf R  129.29700 55603.29700 14.014    0.004 18.959 156530.5   548.6 
PTF10aaxf R  130.28600 55604.28600 14.006    0.006 18.455 157570.3   872.8 
PTF10aaxf R  130.32900 55604.32900 14.017    0.006 18.422 156092.1   900.0 
PTF10aaxf R  131.31900 55605.31900 13.995    0.005 18.746 159175.2   667.6 
PTF10aaxf R  131.36300 55605.36300 14.007    0.006 18.540 157535.2   807.0 
PTF10aaxf R  132.35900 55606.35900 14.001    0.005 18.608 158291.5   758.0 
PTF10aaxf R  132.40400 55606.40400 14.014    0.007 18.338 156398.2   972.2 
PTF10aaxf R  140.38700 55614.38700 14.023    0.007 18.358 155126.2   954.0 
PTF10aaxf R  140.47100 55614.47100 14.014    0.006 18.448 156502.5   878.0 
PTF10aaxf R  194.24300 55668.24300 14.074    0.006 18.556 148074.6   795.4 
PTF10aaxf R  194.24400 55668.24400 14.212    0.022 17.273 130366.3  2592.0 
PTF10aaxf R  368.49700 55842.49700 14.638    0.005 19.198  88084.4   440.4 
PTF10aaxf R  369.49000 55843.49000 14.643    0.006 19.161  87638.3   455.5 
PTF10aaxf R  369.49700 55843.49700 14.667    0.004 19.473  85731.0   341.8 
PTF10aaxf R  370.48700 55844.48700 14.689    0.006 19.092  83989.3   485.4 
PTF10aaxf R  370.49400 55844.49400 14.670    0.005 19.258  85515.0   416.5 
PTF10aaxf R  375.47400 55849.47400 14.726    0.008 18.903  81188.3   577.9 
PTF10aaxf R  375.48000 55849.48000 14.730    0.006 19.094  80933.9   484.3 
PTF10aaxf R  376.47200 55850.47200 14.719    0.007 18.985  81723.2   535.7 
PTF10aaxf R  376.47400 55850.47400 14.719    0.006 19.146  81696.2   462.0 
PTF10aaxf R  377.47000 55851.47000 14.717    0.006 19.216  81899.1   432.9 
PTF10aaxf R  377.47600 55851.47600 14.716    0.006 19.236  81950.4   424.9 
PTF10aaxf R  378.50900 55852.50900 14.728    0.005 19.429  81029.8   355.7 
PTF10aaxf R  392.43100 55866.43100 14.842    0.005 19.594  73001.5   305.6 
PTF10aaxf R  392.43200 55866.43200 14.851    0.005 19.496  72390.9   334.6 
PTF10aaxf R  406.54000 55880.54000 14.992    0.005 19.672  63558.7   284.4 
PTF10aaxf R  406.54800 55880.54800 14.990    0.005 19.546  63674.6   319.4 
PTF10aaxf R  413.42400 55887.42400 15.055    0.006 19.585  59966.9   308.1 
PTF10aaxf R  413.42600 55887.42600 15.055    0.006 19.562  59982.6   314.7 
PTF10aaxf R  427.56900 55901.56900 15.170    0.006 19.615  53941.9   299.9 
PTF10aaxf R  452.52800 55926.52800 15.354    0.005 19.932  45545.0   224.0 
PTF10aaxf R  452.53000 55926.53000 15.372    0.005 19.933  44785.7   223.8 
PTF10aaxf g   88.26800 55562.26800 14.464    0.004 19.350 103327.0   382.8 
PTF10aaxf g   89.31200 55563.31200 14.478    0.006 18.843 102086.3   610.5 
PTF10aaxf g   92.45200 55566.45200 14.487    0.003 19.597 101199.9   304.9 
PTF10aaxf g   97.47400 55571.47400 14.524    0.004 19.297  97828.2   401.8 
PTF10aaxf g  122.34700 55596.34700 14.672    0.003 19.806  85379.6   251.5 
PTF10aaxf g  122.45100 55596.45100 14.667    0.003 19.773  85722.6   259.3 
PTF10aaxf g  124.16200 55598.16200 14.699    0.004 19.584  83229.0   308.4 
PTF10aaxf g  124.20700 55598.20700 14.698    0.005 19.384  83305.0   370.8 
PTF10aaxf g  124.34100 55598.34100 14.684    0.003 19.958  84404.2   218.6 
PTF10aaxf g  124.38600 55598.38600 14.679    0.003 19.742  84804.1   266.8 
PTF10aaxf g  125.44300 55599.44300 14.669    0.003 19.978  85584.4   214.6 
PTF10aaxf g  357.52300 55831.52300 15.645    0.008 19.803  34841.3   252.1 
PTF10aaxf g  357.52400 55831.52400 15.651    0.008 19.828  34657.5   246.4 
PTF10aaxf g  358.51900 55832.51900 15.675    0.008 19.870  33873.5   237.1 
PTF10aaxf g  358.52100 55832.52100 15.657    0.007 19.959  34438.0   218.5 
PTF10aaxf g  359.52200 55833.52200 15.660    0.007 19.875  34369.4   235.9 
PTF10aaxf g  359.52300 55833.52300 15.679    0.010 19.596  33775.3   305.1 
PTF10aaxf g  360.51500 55834.51500 15.682    0.011 19.472  33658.9   341.9 
PTF10aaxf g  360.51800 55834.51800 15.686    0.007 19.933  33537.2   223.7 
PTF10aaxf g  362.51000 55836.51000 15.705    0.007 19.938  32959.8   222.7 
PTF10aaxf g  362.51200 55836.51200 15.708    0.007 19.989  32872.4   212.5 
PTF10aaxf g  363.50700 55837.50700 15.718    0.011 19.546  32560.5   319.6 
PTF10aaxf g  363.51000 55837.51000 15.729    0.008 19.806  32249.3   251.4 
PTF10aaxf g  384.44900 55858.44900 15.950    0.009 19.936  26313.2   223.1 
PTF10aaxf g  384.45200 55858.45200 15.942    0.008 20.104  26497.3   191.1 
PTF10aaxf g  385.44600 55859.44600 15.969    0.008 20.116  25850.1   189.0 
PTF10aaxf g  385.44700 55859.44700 15.971    0.007 20.197  25788.0   175.4 
PTF10aaxf g  387.44100 55861.44100 15.979    0.007 20.219  25601.6   171.9 
PTF10aaxf g  387.44400 55861.44400 15.990    0.008 20.124  25355.5   187.7 
PTF10aaxf g  388.43900 55862.43900 15.999    0.009 20.057  25134.1   199.6 
PTF10aaxf g  388.44100 55862.44100 15.996    0.007 20.214  25205.6   172.7 
PTF10aaxf g  389.44100 55863.44100 15.999    0.013 19.589  25152.8   307.2 
PTF10aaxf g  390.43300 55864.43300 16.015    0.008 20.179  24765.7   178.4 
PTF10aaxf g  390.43600 55864.43600 16.014    0.008 20.145  24788.2   184.0 
PTF10aaxf g  391.42900 55865.42900 16.039    0.010 19.957  24226.9   218.8 
PTF10aaxf g  391.43100 55865.43100 16.034    0.008 20.109  24355.3   190.3 
PTF10aazn R -343.81800 55168.18200 21.015    0.582 20.500    565.1   302.6 
PTF10aazn R -343.72800 55168.27200 22.538    2.367 20.500    138.9   302.7 
PTF10aazn R -335.82900 55176.17100 21.578    1.501 20.033    336.5   465.1 
PTF10aazn R -328.87500 55183.12500 83.523   -0.773 21.444   -178.3   126.9 
PTF10aazn R -328.83000 55183.17000 22.743    1.773 21.019    115.0   187.7 
PTF10aazn R -322.89200 55189.10800 22.039    0.907 21.043    219.9   183.6 
PTF10aazn R -317.89800 55194.10200 20.712    1.244 19.372    746.8   855.3 
PTF10aazn R -314.90500 55197.09500 84.462   -1.760 19.611   -423.4   686.2 
PTF10aazn R -312.90900 55199.09100 82.837   -1.950 21.125    -94.8   170.2 
PTF10aazn R -310.90800 55201.09200 21.653    1.159 20.389    313.9   335.1 
PTF10aazn R -308.77200 55203.22800 83.712   -0.731 21.315   -212.2   142.9 
PTF10aazn R -308.72700 55203.27300 23.842    3.198 21.477     41.8   123.1 
PTF10aazn R -304.74600 55207.25400 80.498  -10.001 21.688    -11.0   101.3 
PTF10aazn R -304.70200 55207.29800 23.821    4.742 21.028     42.6   186.0 
PTF10aazn R -302.78000 55209.22000 21.228    0.516 20.842    464.3   220.8 
PTF10aazn R -298.86500 55213.13500 21.930    0.905 20.936    243.2   202.6 
PTF10aazn R -298.81100 55213.18900 84.051   -0.636 21.127   -290.0   169.9 
PTF10aazn R -265.87200 55246.12800 82.617   -2.099 21.265    -77.4   149.6 
PTF10aazn R -265.82800 55246.17200 83.638   -1.370 20.707   -198.2   250.0 
PTF10aazn R -261.86600 55250.13400 22.085    1.508 20.536    210.8   292.7 
PTF10aazn R -261.82200 55250.17800 20.399    0.634 19.790    996.3   581.8 
PTF10aazn R -114.59800 55397.40200 82.181   -3.004 21.312    -51.8   143.3 
PTF10aazn R -114.55300 55397.44700 81.895   -2.906 21.634    -39.8   106.5 
PTF10aazn R -113.52600 55398.47400 83.441   -0.928 21.327   -165.3   141.3 
PTF10aazn R -112.54100 55399.45900 82.444   -2.412 21.287    -66.0   146.6 
PTF10aazn R -111.65600 55400.34400 21.678    0.973 20.604    306.9   275.0 
PTF10aazn R -111.60700 55400.39300 22.825    1.544 21.250    106.7   151.7 
PTF10aazn R -110.61800 55401.38200 84.239   -0.917 20.542   -344.8   291.0 
PTF10aazn R -110.55100 55401.44900 83.489   -1.423 20.814   -172.9   226.6 
PTF10aazn R -102.51500 55409.48500 80.498  -32.669 20.403    -11.0   330.9 
PTF10aazn R  -97.51600 55414.48400 83.854   -0.773 21.113   -241.8   172.1 
PTF10aazn R    1.35800 55513.35800 16.420    0.009 20.405  38922.4   330.3 
PTF10aazn R    1.40800 55513.40800 16.433    0.010 20.367  38453.4   341.9 
PTF10aazn R    2.36100 55514.36100 16.357    0.009 20.354  41234.3   346.2 
PTF10aazn R    2.40500 55514.40500 16.375    0.010 20.279  40554.4   370.9 
PTF10aazn R    3.36600 55515.36600 16.337    0.008 20.412  41991.8   328.2 
PTF10aazn R    3.41000 55515.41000 16.335    0.010 20.268  42089.8   374.6 
PTF10aazn R    5.08300 55517.08300 16.342    0.009 20.414  41815.9   327.7 
PTF10aazn R    5.12800 55517.12800 16.320    0.008 20.449  42660.3   317.1 
PTF10aazn R    6.11400 55518.11400 16.223    0.010 20.140  46628.4   421.6 
PTF10aazn R    6.15800 55518.15800 16.272    0.012 19.993  44589.3   482.6 
PTF10aazn R    7.11600 55519.11600 16.233    0.011 20.024  46237.5   468.9 
PTF10aazn R    7.15900 55519.15900 16.231    0.010 20.165  46295.6   412.1 
PTF10aazn R   18.22400 55530.22400 16.259    0.010 20.188  45142.8   403.4 
PTF10aazn R   18.26800 55530.26800 16.249    0.009 20.287  45547.5   368.2 
PTF10aazn R   19.27400 55531.27400 16.269    0.007 20.620  44698.8   271.0 
PTF10aazn R   19.31700 55531.31700 16.276    0.010 20.175  44405.0   408.1 
PTF10aazn R   20.30700 55532.30700 16.324    0.008 20.425  42520.5   324.1 
PTF10aazn R   20.35000 55532.35000 16.344    0.008 20.419  41742.5   326.0 
PTF10aazn R   26.08400 55538.08400 16.413    0.011 20.169  39156.2   410.4 
PTF10aazn R   26.12700 55538.12700 16.433    0.009 20.400  38438.6   331.8 
PTF10aazn R   27.11200 55539.11200 16.446    0.010 20.388  37984.5   335.5 
PTF10aazn R   27.15900 55539.15900 16.424    0.009 20.389  38767.2   335.1 
PTF10aazn R   28.11100 55540.11100 16.471    0.009 20.517  37105.4   297.8 
PTF10aazn R   28.16000 55540.16000 16.428    0.009 20.474  38636.1   309.9 
PTF10aazn R   29.12400 55541.12400 16.431    0.009 20.439  38497.1   320.1 
PTF10aazn R   29.17100 55541.17100 16.446    0.010 20.337  37987.0   351.5 
PTF10aazn R   32.10100 55544.10100 16.552    0.007 20.763  34465.6   237.4 
PTF10aazn R   32.14700 55544.14700 16.544    0.009 20.538  34714.7   292.1 
PTF10aazn R   33.10400 55545.10400 16.528    0.012 20.250  35225.8   381.1 
PTF10aazn R   33.15800 55545.15800 16.518    0.013 20.169  35551.5   410.4 
PTF10aazn R   46.19900 55558.19900 16.770    0.010 20.702  28196.2   251.3 
PTF10aazn R   49.28100 55561.28100 16.788    0.012 20.444  27712.7   318.7 
PTF10aazn R   49.32600 55561.32600 16.782    0.015 20.215  27870.1   393.6 
PTF10aazn R   55.09900 55567.09900 16.870    0.013 20.493  25703.6   304.7 
PTF10aazn R   62.10500 55574.10500 17.005    0.010 20.896  22692.5   210.1 
PTF10aazn R   62.14800 55574.14800 16.993    0.011 20.833  22943.3   222.6 
PTF10aazn R   65.09800 55577.09800 17.014    0.021 20.101  22506.0   437.0 
PTF10aazn R   65.14100 55577.14100 17.013    0.023 20.000  22529.8   479.5 
PTF10aazn R   66.11300 55578.11300 16.996    0.018 20.256  22882.8   379.0 
PTF10aazn R   66.15600 55578.15600 17.064    0.020 20.215  21506.6   393.5 
PTF10aazn R   67.12100 55579.12100 17.053    0.009 21.024  21712.6   186.7 
PTF10aazn R   67.16600 55579.16600 17.082    0.012 20.758  21148.7   238.5 
PTF10aazn R   68.20600 55580.20600 17.082    0.013 20.679  21153.3   256.7 
PTF10aazn R   68.25000 55580.25000 17.014    0.014 20.577  22520.8   281.9 
PTF10aazn R   70.21600 55582.21600 17.074    0.021 20.163  21309.9   412.8 
PTF10aazn R   70.26800 55582.26800 17.040    0.019 20.233  21975.5   386.9 
PTF10aazn R   71.23100 55583.23100 17.067    0.015 20.501  21430.0   302.2 
PTF10aazn R   71.28000 55583.28000 17.101    0.020 20.271  20784.4   373.7 
PTF10aazn R   73.19200 55585.19200 17.100    0.014 20.600  20800.8   276.1 
PTF10aazn R   73.24400 55585.24400 17.144    0.015 20.571  19969.7   283.5 
PTF10aazn R   74.21900 55586.21900 17.187    0.015 20.659  19186.8   261.5 
PTF10aazn R   74.26800 55586.26800 17.119    0.016 20.506  20436.1   301.0 
PTF10aazn R   76.16600 55588.16600 17.155    0.019 20.367  19763.6   341.9 
PTF10aazn R   76.21200 55588.21200 17.170    0.018 20.440  19500.6   319.8 
PTF10aazn R   77.21400 55589.21400 17.172    0.015 20.603  19469.0   275.2 
PTF10aazn R   77.29000 55589.29000 17.193    0.021 20.270  19083.0   374.1 
PTF10aazn R   92.14600 55604.14600 17.401    0.022 20.460  15768.3   313.9 
PTF10aazn R   92.19100 55604.19100 17.376    0.022 20.427  16134.7   323.8 
PTF10aazn R   93.14400 55605.14400 17.416    0.020 20.584  15546.0   280.1 
PTF10aazn R   93.18800 55605.18800 17.432    0.021 20.531  15319.5   294.0 
PTF10aazn R   94.18500 55606.18500 17.454    0.016 20.827  15004.9   223.9 
PTF10aazn R   94.22900 55606.22900 17.431    0.020 20.578  15338.0   281.6 
PTF10aazn R  252.40600 55764.40600 22.758    2.415 20.698    113.4   252.2 
PTF10aazn R  252.45000 55764.45000 83.622   -1.254 20.819   -195.4   225.6 
PTF10aazn R  256.35600 55768.35600 83.012   -2.342 20.751   -111.4   240.2 
PTF10aazn R  256.40100 55768.40100 21.967    0.751 21.174    235.1   162.6 
PTF10aazn R  257.32400 55769.32400 84.101   -0.910 20.687   -303.8   254.7 
PTF10aazn R  257.36700 55769.36700 83.663   -0.925 21.108   -202.9   172.8 
PTF10aazn R  258.40600 55770.40600 81.547   -6.535 21.101    -28.9   173.9 
PTF10aazn R  262.35600 55774.35600 82.838   -1.620 21.325    -94.9   141.6 
PTF10aazn R  262.40100 55774.40100 82.670   -1.262 21.764    -81.3    94.5 
PTF10aazn R  263.30800 55775.30800 21.105    0.495 20.765    519.9   237.0 
PTF10aazn R  267.30200 55779.30200 81.916   -4.697 21.091    -40.6   175.6 
PTF10aazn R  267.35600 55779.35600 82.450   -2.998 21.044    -66.4   183.3 
PTF10aazn R  268.28900 55780.28900 22.032    1.021 20.905    221.5   208.3 
PTF10aazn R  268.38500 55780.38500 81.185   -4.612 21.842    -20.7    87.9 
PTF10aazn R  270.36500 55782.36500 79.013  -45.690 21.524     -2.8   117.8 
PTF10aazn R  270.40800 55782.40800 82.004   -2.313 21.773    -44.0    93.7 
PTF10aazn R  271.36100 55783.36100 83.879   -1.179 20.629   -247.5   268.8 
PTF10aazn R  271.41700 55783.41700 83.410   -1.324 20.972   -160.7   195.9 
PTF10aazn R  272.32700 55784.32700 22.316    1.920 20.504    170.5   301.4 
PTF10aazn R  272.37100 55784.37100 83.286   -2.052 20.621   -143.3   270.7 
PTF10aazn R  277.26500 55789.26500 83.517   -2.848 20.034   -177.3   465.0 
PTF10aazn R  277.33900 55789.33900 21.174    0.602 20.621    488.0   270.6 
PTF10aazn R  278.33800 55790.33800 82.500   -3.161 20.937    -69.5   202.3 
PTF10aazn R  278.38100 55790.38100 83.169   -1.407 21.147   -128.7   166.7 
PTF10aazn R  279.44700 55791.44700 84.007   -0.549 21.331   -278.5   140.8 
PTF10aazn R  279.49800 55791.49800 82.817   -2.608 20.829    -93.1   223.6 
PTF10aazn R  280.40100 55792.40100 84.013   -0.760 20.972   -280.1   196.0 
PTF10aazn R  280.46700 55792.46700 83.615   -1.003 21.069   -194.1   179.2 
PTF10aazn R  297.37500 55809.37500 84.306   -0.518 21.095   -366.8   175.0 
PTF10aazn R  299.26200 55811.26200 84.626   -0.401 21.053   -492.4   181.8 
PTF10aazn R  299.34100 55811.34100 21.584    0.426 21.407    334.4   131.3 
PTF10aazn R  300.33400 55812.33400 83.966   -0.577 21.318   -268.1   142.4 
PTF10aazn R  300.42600 55812.42600 84.037   -0.437 21.548   -286.3   115.3 
PTF10aazn R  301.38200 55813.38200 84.538   -0.283 21.519   -454.0   118.4 
PTF10aazn R  305.23100 55817.23100 84.005   -1.664 20.129   -278.0   426.0 
PTF10aazn R  305.27500 55817.27500 25.144   27.417 20.446     12.6   318.1 
PTF10aazn R  306.18800 55818.18800 24.851   63.679 19.238     16.5   967.5 
PTF10aazn R  306.23300 55818.23300 20.596    0.533 20.176    831.1   407.7 
PTF10aazn R  307.23000 55819.23000 21.891    1.876 20.105    252.0   435.3 
PTF10aazn R  307.31900 55819.31900 83.803   -1.025 20.857   -230.8   217.8 
PTF10aazn R  310.21100 55822.21100 84.453   -0.681 20.651   -420.0   263.2 
PTF10aazn R  310.25500 55822.25500 23.502    5.958 20.461     57.2   313.8 
PTF10aazn R  311.21800 55823.21800 22.774    1.735 21.072    111.8   178.6 
PTF10aazn R  311.26200 55823.26200 22.168    0.773 21.344    195.4   139.1 
PTF10aazn R  312.23500 55824.23500 84.131   -0.718 20.915   -312.3   206.4 
PTF10aazn R  326.13100 55838.13100 21.490    0.834 20.584    364.7   280.0 
PTF10aazn R  326.18300 55838.18300 21.787    0.975 20.711    277.5   249.1 
PTF10aazn R  330.16600 55842.16600 22.075    2.003 20.217    212.9   392.7 
PTF10aazn R  331.11800 55843.11800 24.044   14.547 20.034     34.7   464.8 
PTF10aazn R  331.16200 55843.16200 84.764   -0.656 20.381   -559.0   337.6 
PTF10aazn R  332.11500 55844.11500 82.751   -5.549 20.075    -87.6   447.6 
PTF10aazn R  332.16000 55844.16000 20.357    0.424 20.184   1035.9   404.8 
PTF10aazn R  337.10300 55849.10300 22.911    2.903 20.651     98.5   263.3 
PTF10aazn R  337.14700 55849.14700 21.154    0.444 20.931    497.2   203.5 
PTF10aazn R  338.10100 55850.10100 23.457    4.291 20.772     59.6   235.5 
PTF10aazn R  338.14900 55850.14900 22.436    1.201 21.134    152.6   168.8 
PTF10aazn R  339.09900 55851.09900 24.228    9.718 20.656     29.3   262.2 
PTF10aazn R  339.14300 55851.14300 24.146    5.090 21.276     31.6   148.1 
PTF10aazn R  340.10800 55852.10800 84.168   -0.611 21.053   -323.0   181.8 
PTF10aazn R  340.15200 55852.15200 84.127   -0.508 21.296   -311.0   145.4 
PTF10aazn R  341.10400 55853.10400 83.597   -1.263 20.836   -190.9   222.0 
