Date (MJD)	Filter	Mag	Facility	
55353.2	i	19.29 +or- 0.05	Palomar 60 inch	
55354.2	i	19.31 +or- 0.03	Palomar 60 inch	
55356.3	i	19.23 +or- 0.16	Palomar 60 inch	
55363.2	i	19.40 +or- 0.05	Palomar 60 inch	
55368.3	i	19.41 +or- 0.05	Palomar 60 inch	
55372.2	i	19.43 +or- 0.07	Palomar 60 inch	
55381.2	i	19.55 +or- 0.06	Palomar 60 inch	
55391.2	i	19.64 +or- 0.06	Palomar 60 inch	
55406.2	i	20.38 +or- 0.13	Palomar 60 inch	
55307.2	J	18.14 +or- 0.29	PAIRITEL	
55315.2	J	18.37 +or- 0.39	PAIRITEL	
55317.2	J	17.89 +or- 0.30	PAIRITEL	
55319.2	J	17.86 +or- 0.26	PAIRITEL	
55321.2	J	17.94 +or- 0.24	PAIRITEL	
55322.2	J	18.38 +or- 0.25	PAIRITEL	
55324.2	J	17.88 +or- 0.21	PAIRITEL	
55325.2	J	17.55 +or- 0.32	PAIRITEL	
55327.2	J	17.86 +or- 0.25	PAIRITEL	
55331.2	J	17.25 +or- 0.18	PAIRITEL	
55333.2	J	17.82 +or- 0.24	PAIRITEL	
55369.2	J	17.78 +or- 0.31	PAIRITEL	
55307.2	H	17.35 +or- 0.21	PAIRITEL	
55315.2	H	17.37 +or- 0.27	PAIRITEL	
55317.2	H	17.14 +or- 0.22	PAIRITEL	
55319.2	H	16.81 +or- 0.27	PAIRITEL	
55321.2	H	17.75 +or- 0.18	PAIRITEL	
55322.2	H	17.25 +or- 0.16	PAIRITEL	
55324.2	H	17.22 +or- 0.20	PAIRITEL	
55325.2	H	17.19 +or- 0.30	PAIRITEL	
55327.2	H	17.02 +or- 0.20	PAIRITEL	
55331.2	H	16.97 +or- 0.32	PAIRITEL	
55333.2	H	17.07 +or- 0.29	PAIRITEL	
55369.2	H	17.22 +or- 0.22	PAIRITEL	
55307.2	K	16.17 +or- 0.18	PAIRITEL	
55315.2	K	16.56 +or- 0.31	PAIRITEL	
55317.2	K	16.84 +or- 0.19	PAIRITEL	
55319.2	K	16.90 +or- 0.25	PAIRITEL	
55321.2	K	16.84 +or- 0.40	PAIRITEL	
55322.2	K	16.69 +or- 0.21	PAIRITEL	
55324.2	K	16.29 +or- 0.15	PAIRITEL	
55325.2	K	16.73 +or- 0.18	PAIRITEL	
55327.2	K	16.65 +or- 0.22	PAIRITEL	
55331.2	K	>15.80	PAIRITEL	
55333.2	K	>16.60	PAIRITEL	
55369.2	K	>16.36	PAIRITEL	
