#JD	U	B	V	R	I	g	r	i
2456479.71	–	18.875 ± 0.052	17.579 ± 0.026	–	–	18.168 ± 0.020	16.983 ± 0.015	16.965 ± 0.021	5
2456480.69	–	18.936 ± 0.068	17.624 ± 0.035	–	–	18.188 ± 0.022	16.952 ± 0.020	16.952 ± 0.017	5
2456484.65	–	18.865 ± 0.050	17.611 ± 0.024	–	–	18.185 ± 0.019	16.968 ± 0.017	17.067 ± 0.020	5
2456486.65	–	18.910 ± 0.050	17.604 ± 0.028	–	–	18.206 ± 0.016	16.993 ± 0.014	17.026 ± 0.019	5
2456488.68	–	–	17.773 ± 0.066	–	–	18.258 ± 0.078	17.089 ± 0.045	–	5
2456494.68	–	19.072 ± 0.111	17.914 ± 0.043	–	–	18.240 ± 0.034	17.047 ± 0.021	17.215 ± 0.024	5
2456499.68	–	19.058 ± 0.053	17.814 ± 0.035	–	–	18.260 ± 0.032	17.073 ± 0.018	17.197 ± 0.029	5
2456504.22	–	19.044 ± 0.038	17.753 ± 0.021	–	–	–	–	–	5
2456504.93	–	19.090 ± 0.111	17.708 ± 0.044	–	–	–	17.096 ± 0.027	17.257 ± 0.046	3
2456505.67	–	19.070 ± 0.150	–	–	–	18.384 ± 0.030	–	–	5
2456508.62	–	19.039 ± 0.113	17.900 ± 0.044	–	–	18.350 ± 0.025	17.129 ± 0.017	17.285 ± 0.025	5
2456510.68	–	19.047 ± 0.068	17.886 ± 0.031	–	–	18.392 ± 0.024	17.247 ± 0.037	17.413 ± 0.035	5
2456516.47	–	19.073 ± 0.125	18.005 ± 0.049	–	–	–	17.186 ± 0.022	17.385 ± 0.036	5
2456518.51	–	19.074 ± 0.080	18.035 ± 0.036	–	–	18.487 ± 0.028	17.231 ± 0.017	17.422 ± 0.035	5
2456521.49	–	–	18.099 ± 0.051	–	–	18.563 ± 0.036	–	17.428 ± 0.035	5
2456524.65	–	–	–	–	–	18.613 ± 0.125	17.227 ± 0.041	17.433 ± 0.072	5
2456524.92	–	19.089 ± 0.122	18.078 ± 0.051	–	–	–	–	–	5
2456528.88	–	–	18.002 ± 0.060	–	–	–	–	–	3
2456529.86	–	–	–	–	–	–	17.267 ± 0.036	17.526 ± 0.071	3
