# SDSS CID:   9428 IAU:          RA: 337.291992 DEC:   0.024460  (J2000)
# GALAXY_SB [ugriz] = [ 22.96 22.57 22.24 21.83 21.33 ] +/- [  0.14  0.03  0.03  0.03  0.07 ] (asinh mag/square arcsec)
# GALAXY_SB_FLUX [ugriz] = [  2.341E+00  3.303E+00  4.548E+00  6.581E+00  9.811E+00 ] +/- [  3.341E-01  1.077E-01  1.207E-01  1.622E-01  6.762E-01 ] (microJy per square arcsec)
#FLAG  MJD       FILT  MAG     MERR  MSKYERR MGALERR  FLUX       FLUXERR    SKYERR     GALERR    NPRE TELE   RUN  STRIP  IDCCD
    2  53671.258384  4  24.718  0.661  2.207  0.838  -1.457e+01   8.599e+00   3.142e+01   1.193e+01  10  sdss  5786  82S  4 
    6  53671.257555  0  24.767  2.366 19.592 10.532  -9.864e-02   4.590e+00   1.906e+01   1.025e+01  9  sdss  5786  82S  4 
   48  53674.158736  1  22.198  0.132  1.173  0.110   4.686e+00   5.716e-01   5.089e+00   4.790e-01  10  sdss  5797  82S  4 
   48  53674.155420  2  22.032  0.192  1.562  0.149   5.532e+00   9.762e-01   8.020e+00   7.638e-01  11  sdss  5797  82S  4 
   48  53674.156249  3  21.811  0.211  1.890  0.114   6.674e+00   1.296e+00   1.176e+01   7.086e-01  11  sdss  5797  82S  4 
   32  53674.157907  4  21.803  0.563  0.902  0.351   5.807e+00   3.981e+00   6.519e+00   2.539e+00  10  sdss  5797  82S  4 
  176  53674.157078  0  22.823  0.815  1.443  0.904   2.774e+00   1.928e+00   3.862e+00   2.421e+00  9  sdss  5797  82S  4 
   48  53676.247981  1  23.076  0.304  2.773  0.249   2.048e+00   5.864e-01   5.459e+00   4.912e-01  10  sdss  5807  82S  4 
   48  53676.244664  2  22.509  0.263  1.578  0.137   3.534e+00   8.620e-01   5.266e+00   4.584e-01  11  sdss  5807  82S  4 
   48  53676.245494  3  22.885  0.498  3.291  0.175   2.340e+00   1.169e+00   8.057e+00   4.283e-01  11  sdss  5807  82S  4 
   32  53676.247152  4  22.406  0.701  1.067  0.403   2.138e+00   3.857e+00   5.610e+00   2.121e+00  10  sdss  5807  82S  4 
   48  53676.246323  0  23.128  0.951  1.282  0.661   2.039e+00   1.748e+00   2.659e+00   1.372e+00  9  sdss  5807  82S  4 
   48  53679.219545  1  22.898  0.322  5.239  0.458   2.429e+00   7.224e-01   1.208e+01   1.057e+00  10  sdss  5820  82S  4 
   48  53679.216228  2  23.082  0.548  5.313  0.455   2.027e+00   1.046e+00   1.075e+01   9.203e-01  11  sdss  5820  82S  4 
   48  53679.217058  3  23.320  0.870 12.237  0.659   1.432e+00   1.485e+00   2.161e+01   1.165e+00  11  sdss  5820  82S  4 
   32  53679.218716  4  22.415  0.901  2.528  0.890   2.091e+00   5.120e+00   1.325e+01   4.667e+00  10  sdss  5820  82S  4 
   48  53679.217887  0  24.171  1.622  5.870  3.302   4.957e-01   2.267e+00   6.263e+00   3.522e+00  9  sdss  5820  82S  4 
   48  53681.210835  1  22.901  0.249  2.161  0.186   2.422e+00   5.643e-01   4.969e+00   4.275e-01  10  sdss  5836  82S  4 
   48  53681.207519  2  22.845  0.322  1.621  0.140   2.560e+00   7.806e-01   4.019e+00   3.462e-01  11  sdss  5836  82S  4 
   48  53681.208348  3  23.278  0.643  3.744  0.223   1.508e+00   1.134e+00   6.810e+00   4.062e-01  11  sdss  5836  82S  4 
    0  53681.210006  4  23.046  0.669  0.826  0.376  -1.044e+00   3.521e+00   4.107e+00   1.871e+00  10  sdss  5836  82S  4 
   48  53681.209177  0  24.500  1.532  2.406  1.336   1.609e-01   2.032e+00   2.357e+00   1.309e+00  9  sdss  5836  82S  4 
   49  53685.169454  1  22.704  0.685  2.277  0.169   2.920e+00   1.681e+00   6.244e+00   4.625e-01  10  sdss  5853  82S  4 
   49  53685.166138  2  22.299  0.447  1.410  0.107   4.308e+00   1.711e+00   5.685e+00   4.329e-01  11  sdss  5853  82S  4 
   49  53685.166967  3  22.581  0.663  3.024  0.166   3.191e+00   1.917e+00   9.528e+00   5.228e-01  11  sdss  5853  82S  4 
   32  53685.168625  4  22.414  0.934  0.968  0.412   2.096e+00   5.342e+00   5.077e+00   2.160e+00  10  sdss  5853  82S  4 
   33  53685.167796  0  23.205  2.026  1.316  0.735   1.882e+00   3.753e+00   2.568e+00   1.434e+00  9  sdss  5853  82S  4 
   49  53687.207425  1  23.269  1.281  4.613  0.342   1.697e+00   1.686e+00   7.682e+00   5.700e-01  10  sdss  5870  82S  4 
  177  53687.204108  2  22.890  0.841  3.627  0.269   2.450e+00   1.750e+00   8.645e+00   6.425e-01  11  sdss  5870  82S  4 
   49  53687.204937  3  23.271  0.979  7.944  0.377   1.521e+00   1.709e+00   1.451e+01   6.884e-01  11  sdss  5870  82S  4 
   32  53687.206596  4  22.116  0.772  1.195  0.414   3.756e+00   4.687e+00   7.141e+00   2.473e+00  10  sdss  5870  82S  4 
    1  53687.205767  0  26.506  2.266  1.222  0.773  -2.767e+00   4.928e+00   3.264e+00   2.065e+00  9  sdss  5870  82S  4 
   48  53697.166364  1  22.432  0.278  6.056  0.161   3.768e+00   9.545e-01   2.125e+01   5.633e-01  10  sdss  5895  82S  4 
   52  53697.163048  2  22.259  0.362  3.351  0.147   4.473e+00   1.463e+00   1.400e+01   6.137e-01  11  sdss  5895  82S  4 
   52  53697.163877  3  22.156  0.407  3.334  0.156   4.817e+00   1.783e+00   1.522e+01   7.112e-01  11  sdss  5895  82S  4 
    4  53697.165535  4  24.319  0.538  1.020  0.243  -9.732e+00   5.224e+00   1.038e+01   2.478e+00  10  sdss  5895  82S  4 
   60  53697.164706  0  24.437  1.906 15.055  2.116   2.235e-01   2.961e+00   1.490e+01   2.094e+00  9  sdss  5895  82S  4 
   48  53700.164966  1  23.520  0.454  4.607  0.370   1.320e+00   5.883e-01   6.201e+00   4.985e-01  10  sdss  5905  82S  4 
   48  53700.161649  2  23.042  0.434  2.953  0.236   2.109e+00   8.725e-01   6.180e+00   4.935e-01  11  sdss  5905  82S  4 
   48  53700.162478  3  23.200  0.687  5.165  0.281   1.655e+00   1.265e+00   9.928e+00   5.396e-01  11  sdss  5905  82S  4 
   32  53700.164137  4  21.837  0.620  0.935  0.357   5.563e+00   4.289e+00   6.601e+00   2.519e+00  10  sdss  5905  82S  4 
   48  53700.163307  0  23.172  1.244  1.681  0.860   1.949e+00   2.151e+00   3.369e+00   1.724e+00  9  sdss  5905  82S  4 
   48  53705.150921  1  23.112  0.361  5.526  0.430   1.978e+00   6.674e-01   1.054e+01   8.207e-01  10  sdss  5924  82S  4 
   48  53705.147604  2  23.063  0.550  6.580  0.503   2.065e+00   1.064e+00   1.352e+01   1.034e+00  11  sdss  5924  82S  4 
   48  53705.148433  3  23.052  0.664  7.688  0.410   1.955e+00   1.350e+00   1.650e+01   8.807e-01  11  sdss  5924  82S  4 
   32  53705.150091  4  22.601  0.849  2.130  0.828   1.139e+00   4.639e+00   1.062e+01   4.131e+00  10  sdss  5924  82S  4 
   16  53705.149262  0  22.203  0.492  1.071  0.553   5.027e+00   2.142e+00   4.952e+00   2.560e+00  9  sdss  5924  82S  4 
