04D3lu	14:21:08.009	+52:58:29.74	2004-06-23	04D3lu	0.8218	0.0002	SN Ia	4	5.5	0.1	5.6 	H\&K 
04D3mk	14:19:25.830	+53:09:49.56	2004-06-19	04D3mk	0.813	0.001	SN Ia	5	-2.4	0.1	1.2 	\ion{O}{2}, H\&K 
04D3ml	14:16:39.107	+53:05:35.66	2004-06-20	04D3ml	0.95	0.02	SN Ia	4	-1.8	0.3	1.1 	SN 
04D3nc	14:16:18.224	+52:16:26.09	2004-07-13	04D3nc	0.817	0.001	SN Ia*	3	7.2	0.2	\nodata 	poss  \ion{O}{2} 
04D3nh	14:22:26.729	+52:20:00.92	2004-06-23	04D3nh	0.3402	0.0002	SN Ia	5	3.5	0.1	3.7 	H$\alpha$, H$\beta$, \ion{O}{2}, poss H\&K 
04D3nq	14:20:19.193	+53:09:15.90	2004-07-14	04D3nq	0.22	0.01	SN Ia	5	8.1	0.1	8.8 	SN 
04D3nr	14:22:38.526	+52:38:55.89	2004-07-15	04D3nr	0.96	0.02	SN Ia*	3	8.1	0.3	3.9 	SN 
04D3ny	14:18:56.332	+52:11:15.06	2004-07-10	04D3ny	0.81	0.02	SN Ia	5	1.6	0.2	2.5 	SN 
04D3oe	14:19:39.381	+52:33:14.21	2004-07-11	04D3oe	0.756	0.001	SN Ia	4	1.4	0.1	1.8 	H\&K 
04D3og	14:20:39.748	+53:01:15.02	2004-07-19	04D3og	0.352	0.001	SN	2	\nodata	\nodata	\nodata 	H$\alpha$, H$\beta$, \ion{O}{2}, \ion{N}{2}, \ion{S}{2} 
04D3pd	14:22:33.506	+52:13:47.77	2004-07-18	04D3pd	0.760	0.001	SN:	2	\nodata	\nodata	\nodata 	H$\beta$, \ion{O}{2}, \ion{O}{3} 
04D4dm	22:15:25.470	-17:14:42.71	2004-07-18	04D4dm	0.811	0.001	SN Ia	4	2.7	0.2	-0.7 	\ion{O}{2}, \ion{O}{3} 
04D4ec	22:16:29.286	-18:11:04.13	2004-07-19	04D4ec	0.593	0.001	SN:	2	\nodata	\nodata	\nodata 	\ion{O}{2}, \ion{O}{3}, H$\beta$, H$\gamma$ 
04D4ft	22:14:31.097	-17:40:19.74	2004-08-12	04D4ft	0.2666	0.0002	SN	2	\nodata	\nodata	\nodata 	\ion{O}{3}, H$\alpha$, H$\beta$ 
04D4gg	22:16:09.268	-17:17:39.98	2004-08-16	04D4gg	0.4238	0.0004	SN Ia	5	-9.7	0.1	-10.0 	\ion{O}{2}, \ion{O}{3}, H$\alpha$, H$\beta$, H$\gamma$ 
04D4hu	22:15:36.193	-17:50:19.81	2004-09-18	04D4hu	0.7027	0.0003	SN Ia	5	5.2	0.5	5.0 	\ion{O}{2}, \ion{O}{3}, H$\beta$ 
04D4hx	22:13:40.587	-17:23:03.35	2004-09-16	04D4hx	0.545	0.005	SN:	2	\nodata	\nodata	\nodata 	4000\AA\ break, poss  H\&K 
04D4ic	22:14:21.841	-17:56:36.43	2004-09-12	04D4ic	0.68	0.02	SN Ia	4	2.5	0.3	4.8 	SN 
04D4ih	22:17:17.041	-17:40:38.74	2004-10-07	04D4ih	0.934	0.001	SN Ia*	3	8.7	0.2	5.6 	\ion{O}{2}, H\&K, some Balmer 
04D4ii	22:15:55.645	-17:39:27.09	2004-09-15	04D4ii	0.866	0.001	SN Ia	5	-4.6	0.2	-3.5 	\ion{O}{2} 
04D4im	22:15:00.885	-17:23:45.84	2004-10-10	04D4im	0.7510	0.0005	SN Ia	4	0.7	0.2	0.2 	H\&K, H$\delta$ 
04D4jy	22:13:51.605	-17:24:18.13	2004-10-14	04D4jy	0.93	0.02	SN Ia*	3	2.0	0.4	0.0 	SN 
04D4kn	22:15:04.324	-17:19:45.05	2004-10-19	04D4kn	0.9095	0.0005	SN:	2	\nodata	\nodata	\nodata 	\ion{O}{2}, H\&K, Balmer
